dataset,optimiser,mean_test_rmse,rank
abalone,adam,2.251506876945496,1.0
abalone,cmaes,4.043005657196045,7.0
abalone,de,2.9140538692474367,5.0
abalone,ga,3.1086307764053345,6.0
abalone,pso,2.715549635887146,4.0
abalone,rmsprop,2.6787201166152954,3.0
abalone,sgd,2.3565612554550173,2.0
airfoil,adam,22.72148790359497,5.0
airfoil,cmaes,14.681574249267578,3.0
airfoil,de,24.61214962005615,6.0
airfoil,ga,14.969712018966675,4.0
airfoil,pso,26.33020257949829,7.0
airfoil,rmsprop,8.894259786605835,2.0
airfoil,sgd,8.319002246856689,1.0
ankara,adam,2.5517684698104857,1.0
ankara,cmaes,5.971393966674805,6.0
ankara,de,3.657681679725647,3.0
ankara,ga,4.7429239511489865,4.0
ankara,pso,3.1500465869903564,2.0
ankara,rmsprop,6.67178168296814,7.0
ankara,sgd,4.930054712295532,5.0
autompg6,adam,2.516695332527161,1.0
autompg6,cmaes,3.1038406133651733,7.0
autompg6,de,2.7908902168273926,5.0
autompg6,ga,2.8142033576965333,6.0
autompg6,pso,2.7367308855056764,4.0
autompg6,rmsprop,2.539381742477417,2.0
autompg6,sgd,2.5699371814727785,3.0
baseball,adam,765.5952819824219,1.0
baseball,cmaes,826.039501953125,7.0
baseball,de,799.1131408691406,5.0
baseball,ga,788.5650329589844,2.0
baseball,pso,789.0452758789063,3.0
baseball,rmsprop,810.0463745117188,6.0
baseball,sgd,792.6784912109375,4.0
concrete,adam,11.059716796875,1.0
concrete,cmaes,12.445722770690917,7.0
concrete,de,11.857760143280029,3.0
concrete,ga,11.970571994781494,5.0
concrete,pso,11.742802715301513,2.0
concrete,rmsprop,12.43673267364502,6.0
concrete,sgd,11.88219985961914,4.0
izmir,adam,3.052859330177307,2.0
izmir,cmaes,4.347877430915832,6.0
izmir,de,3.4290969371795654,4.0
izmir,ga,3.8148701190948486,5.0
izmir,pso,2.6374182224273683,1.0
izmir,rmsprop,4.532924747467041,7.0
izmir,sgd,3.2083873987197875,3.0
laser,adam,5.835173463821411,1.0
laser,cmaes,10.254079246520996,7.0
laser,de,8.574830770492554,5.0
laser,ga,8.707452392578125,6.0
laser,pso,7.533365869522095,4.0
laser,rmsprop,6.518905973434448,3.0
laser,sgd,6.014527368545532,2.0
treasury,adam,1.2414349436759948,2.0
treasury,cmaes,1.4304261684417725,7.0
treasury,de,1.3777050137519837,6.0
treasury,ga,1.3125504493713378,5.0
treasury,pso,1.2555246949195862,3.0
treasury,rmsprop,1.3030842542648315,4.0
treasury,sgd,1.053825706243515,1.0
wine,adam,0.19730308055877685,1.0
wine,cmaes,0.5493341296911239,5.0
wine,de,0.3579130083322525,3.0
wine,ga,0.3965598940849304,4.0
wine,pso,0.32020695954561235,2.0
wine,rmsprop,0.6192106902599335,6.0
wine,sgd,0.6371588706970215,7.0
