mf_inputs,mf_output,lb_rmse,score,coverage_topK,rules_to_target,coverage_at_target,cum_cov_all
"(9, 6, 9, 6, 3)",5,0.0,194.14810279331087,58.271486712952,348,78.0703854440992,90.8067991381386
"(7, 6, 6, 9, 9)",5,0.0,116.79557694934309,41.87215705051488,652,78.02250418961044,81.4220732583203
"(6, 5, 7, 4, 7)",4,0.0,214.76477723200946,62.53291836246121,276,78.0225041896102,92.00383050036011
"(5, 4, 9, 3, 7)",9,0.0,211.77718720570965,63.777830979171746,264,78.0464448168544,93.10509935360385
"(5, 7, 8, 9, 7)",4,0.0,105.92873782446671,43.38041656691417,644,78.04644481685484,81.7811826669868
"(5, 3, 8, 3, 9)",8,0.0,218.8611270945352,65.2142686138378,246,78.0703854440989,92.79387119942635
"(5, 6, 7, 3, 5)",6,0.0,219.7299867741472,69.47570026334706,213,78.02250418960999,94.27819008858125
"(5, 7, 8, 4, 7)",6,0.0,189.09172747679818,55.37467081637542,369,78.07038544409924,88.676083313384
"(6, 9, 7, 5, 3)",9,0.0,202.75486325442705,61.52741201819494,293,78.09432607134363,92.48264304524868
"(7, 3, 3, 8, 9)",6,0.0,209.3936684318327,56.116830260952916,342,78.02250418961044,91.30955231027167
"(8, 9, 9, 8, 8)",3,0.0,-49999548.34169137,38.85563801771625,1000000000,77.44792913574437,77.44792913574437
"(7, 6, 9, 9, 5)",4,0.0,125.46645551537682,44.338041656691544,597,78.02250418961033,82.47546085707535
"(8, 5, 8, 9, 3)",4,0.0,189.2649021648479,56.021067751975195,374,78.04644481685476,88.93943021307277
"(7, 4, 4, 9, 4)",9,0.0,217.70505582023856,66.17189370361518,246,78.07038544409886,93.0093368446261
"(7, 6, 3, 3, 5)",7,0.0,220.50052054352795,80.08139813263125,138,78.14220732583208,96.62437155853551
"(6, 3, 5, 7, 5)",8,0.0,221.9376835010944,65.76490304045979,241,78.0464448168545,93.82331817093707
"(3, 7, 5, 9, 7)",4,0.0,177.00523835303105,52.046923629399146,435,78.04644481685459,87.76633947809543
"(9, 7, 7, 7, 5)",6,0.0,147.55520152942003,49.1740483600672,494,78.04644481685486,85.37227675365214
"(3, 7, 9, 6, 5)",7,0.0,191.79308037649994,52.95666746468759,401,78.04644481685476,88.96337084031727
"(4, 5, 4, 4, 9)",4,0.0,216.9037947826503,66.24371558534853,247,78.07038544409903,93.15298060809286
"(3, 7, 8, 5, 6)",3,0.0,188.5457975761193,54.94373952597564,374,78.04644481685496,89.70553028489475
"(3, 8, 9, 4, 4)",3,0.0,220.57090353674585,61.98228393583926,279,78.09432607134343,92.79387119942636
"(9, 3, 8, 9, 7)",8,0.0,141.03427384845995,44.98443859229122,575,78.02250418961019,84.53435480009666
"(6, 9, 8, 7, 5)",7,0.0,141.11551233154663,45.175963610246725,570,78.04644481685472,84.89346420876329
"(9, 4, 9, 4, 8)",7,0.0,191.46081087704545,55.49437395259765,373,78.02250418961044,89.56188652142812
"(9, 6, 7, 5, 6)",6,0.0,177.97084522332256,54.201580081398255,392,78.04644481685489,88.26909265022871
"(8, 8, 8, 9, 5)",3,0.0,114.54794861343828,44.09863538424718,620,78.02250418961039,82.18817333014218
"(5, 7, 3, 6, 7)",8,0.0,206.0555270512397,62.41321522623901,279,78.07038544409897,91.64472109169334
"(5, 9, 4, 4, 3)",8,0.0,223.18604530795398,75.10174766578898,169,78.04644481685435,96.33708403160232
"(5, 3, 8, 4, 5)",9,0.0,224.3321091947783,71.17548479770176,199,78.04644481685428,94.56547761551428
"(4, 5, 6, 9, 3)",3,0.0,213.30345404372093,63.9693559971272,263,78.02250418961009,92.96145559013733
"(9, 4, 9, 8, 4)",3,0.0,205.60726875197128,56.236533397175066,356,78.07038544409917,90.30404596600545
"(9, 7, 8, 7, 7)",8,0.0,108.01501931057544,43.09312903998101,633,78.0464448168549,81.82906392147572
"(3, 3, 3, 8, 4)",7,0.0,238.23571393090072,82.78668901125221,124,78.02250418960983,97.94110605697911
"(9, 7, 3, 6, 3)",5,0.0,220.08242841657523,72.75556619583438,186,78.04644481685426,95.40339956906936
"(9, 3, 3, 7, 3)",4,0.0,227.74836927393113,75.93966961934406,163,78.1182666985876,96.86377783097967
"(4, 8, 3, 6, 4)",8,0.0,227.40172822392555,70.21785970792449,205,78.02250418960992,95.0921714148918
"(9, 3, 8, 3, 7)",6,0.0,219.36524009494877,64.23270289681602,256,78.07038544409896,92.98539621738183
"(7, 3, 9, 5, 3)",4,0.0,218.289059360488,66.50706248503727,238,78.09432607134323,94.27819008858118
"(3, 8, 5, 5, 6)",4,0.0,208.8810833431407,61.83864017237259,291,78.04644481685477,92.24323677280438
"(3, 7, 6, 3, 7)",3,0.0,219.84948782210657,68.47019391908086,218,78.09432607134329,93.48814938951483
"(8, 6, 4, 5, 5)",8,0.0,219.1481299816687,67.41680632032576,227,78.09432607134335,93.70361503471484
"(6, 9, 7, 4, 8)",8,0.0,176.44379818125893,50.371079722288776,458,78.04644481685465,87.76633947809549
"(4, 9, 3, 9, 8)",4,0.0,167.66197661956235,49.461335887000345,477,78.02250418961009,86.68901125209577
"(9, 4, 5, 7, 5)",3,0.0,210.03244233146614,63.2750778070386,275,78.04644481685455,92.3629399090264
"(7, 6, 8, 4, 3)",6,0.0,215.852564661365,67.68015322001455,227,78.02250418960989,93.58391189849249
"(8, 6, 7, 9, 7)",5,0.0,132.39496217398167,45.152022983002254,574,78.02250418961029,83.19367967440837
"(8, 5, 6, 9, 8)",5,0.0,139.61416046580524,44.9126167105579,567,78.02250418961026,83.38520469236383
"(4, 7, 8, 3, 6)",8,0.0,210.0878056192965,64.75939669619358,257,78.0225041896102,91.83624610964904
"(3, 5, 8, 3, 7)",5,0.0,223.71904076983373,68.13502513765866,221,78.07038544409876,93.75149628920347
"(4, 4, 9, 6, 5)",7,0.0,200.1021509526559,59.5882212113958,333,78.04644481685473,91.165908546805
"(5, 8, 5, 7, 8)",9,0.0,149.87319919367593,48.79099832415625,515,78.02250418961012,85.6835049078295
"(7, 4, 8, 5, 6)",8,0.0,190.60864691474947,58.774239885085045,335,78.02250418961042,89.9928178118278
"(6, 9, 8, 3, 3)",7,0.0,218.2183571854893,68.51807517356974,219,78.04644481685439,94.20636820684777
"(4, 8, 5, 4, 4)",4,0.0,225.89944871146503,72.25281302370128,191,78.04644481685413,94.58941824275847
"(8, 6, 6, 8, 8)",7,0.0,162.61554476366052,47.378501316734564,502,78.04644481685469,85.03710797222988
"(9, 6, 3, 6, 9)",8,0.0,190.60870111561206,55.51831457984206,378,78.0464448168548,89.5140052669392
"(7, 6, 9, 8, 8)",3,0.0,102.50815356757784,40.84271007900423,689,78.02250418961064,80.27292315058759
"(4, 6, 3, 5, 8)",4,0.0,219.06485520240824,64.30452477854931,258,78.09432607134342,93.72755566195929
"(6, 7, 6, 7, 7)",9,0.0,162.8823709716463,48.28824515202309,484,78.02250418961033,86.06655494374068
"(3, 3, 6, 5, 5)",9,0.0,232.0967700929882,76.3227196552551,161,78.16614795307656,95.95403399569133
"(6, 3, 9, 9, 9)",6,0.0,145.62036832514477,42.30308834091462,618,78.02250418961027,83.43308594685271
"(4, 7, 8, 3, 9)",8,0.0,196.16200513626666,56.76322719655258,348,78.0225041896105,89.46612401245038
"(4, 3, 6, 8, 6)",5,0.0,212.73671935463898,61.527412018194966,290,78.07038544409912,91.62078046444907
"(3, 4, 3, 8, 9)",3,0.0,225.74454415770236,63.41872157050524,266,78.07038544409899,93.96696193440366
"(9, 8, 7, 7, 3)",4,0.0,188.13266719544265,56.308355278908365,371,78.07038544409923,89.75341153938348
"(3, 7, 8, 4, 9)",5,0.0,193.09831638068403,52.04692362939913,409,78.02250418961039,88.17333014125107
"(5, 8, 4, 3, 6)",9,0.0,221.5167932588887,71.07972228872414,202,78.04644481685432,95.04429016040301
"(6, 8, 3, 3, 5)",6,0.0,230.01114409471268,77.85491979889882,151,78.02250418960986,96.33708403160223
"(9, 9, 3, 9, 5)",4,0.0,184.93317069661276,53.746708163753915,400,78.04644481685476,89.03519272205057
"(8, 7, 9, 8, 8)",5,0.0,-49999563.75325681,40.363897534115566,1000000000,77.54369164472212,77.54369164472212
"(3, 9, 4, 5, 9)",3,0.0,194.4435079147777,54.36916447210916,387,78.07038544409917,90.28010533876108
"(3, 3, 4, 8, 5)",7,0.0,233.73842600464513,73.49772564041173,178,78.14220732583195,95.97797462293559
"(5, 5, 7, 9, 3)",9,0.0,208.11598836534742,63.08355278908314,282,78.0464448168546,92.00383050035988
"(8, 8, 7, 8, 6)",8,0.0,138.3688837914192,46.18146995451292,552,78.04644481685462,84.12736413694125
"(8, 6, 8, 6, 5)",9,0.0,193.60241947427602,53.43548000957628,384,78.02250418961025,88.89154895858388
"(7, 4, 4, 6, 7)",5,0.0,208.41603779762403,64.78333732343793,263,78.09432607134337,91.81230548240431
"(3, 4, 4, 5, 5)",5,0.0,229.22702891274395,78.45343548000962,148,78.11826669858753,97.00742159444627
"(9, 5, 8, 3, 5)",9,0.0,214.7212219992827,67.44074694757019,237,78.09432607134335,92.79387119942622
"(7, 3, 3, 5, 4)",4,0.0,233.36435146836345,81.27842949485292,132,78.14220732583202,97.00742159444624
"(7, 5, 5, 6, 7)",4,0.0,195.7435061172147,60.76131194637304,313,78.0225041896102,89.72947091213881
"(5, 3, 6, 8, 4)",3,0.0,228.26711087028838,69.85875029925792,212,78.02250418960989,93.75149628920352
"(5, 4, 9, 7, 8)",3,0.0,137.49372608741447,46.13358870002409,569,78.02250418961026,84.34282978214125
"(5, 6, 9, 5, 5)",6,0.0,187.61231331617904,54.967680153220016,378,78.04644481685477,89.0351927220505
