mf_inputs,mf_output,lb_rmse,score,coverage_topK,rules_to_target,coverage_at_target,cum_cov_all
"(9, 8, 5, 7, 6)",5,0.0,206.1776124683024,57.653910149750295,273,78.119800332779,85.10815307820343
"(9, 7, 5, 4, 4)",4,0.0,207.78266119786278,58.31946755407642,269,78.11980033277898,85.60732113144802
"(9, 5, 6, 6, 7)",9,0.0,208.4064938502949,59.484193011647136,262,78.11980033277896,85.94009983361107
"(3, 5, 7, 3, 4)",3,0.0,236.74549919289353,99.25124792013312,66,78.11980033277868,99.25124792013312
"(8, 9, 8, 8, 6)",4,0.0,222.2058071377972,63.643926788685434,234,78.03660565723813,91.0149750415978
"(9, 6, 5, 5, 5)",5,0.0,205.1396372852825,58.81863560732101,266,78.11980033277898,85.27454242928495
"(4, 8, 4, 6, 6)",7,0.0,240.28594296023581,87.43760399334482,122,78.20299500831968,97.17138103161457
"(3, 5, 3, 4, 5)",6,0.0,236.96070614255592,99.41763727121469,67,78.28618968386024,99.41763727121469
"(9, 7, 3, 3, 5)",7,0.0,228.57038404591586,75.20798668885217,167,78.03660565723825,93.67720465890247
"(6, 9, 8, 9, 4)",6,0.0,237.8041592936333,64.89184692179695,203,78.11980033277892,96.00665557404385
"(9, 6, 5, 5, 4)",6,0.0,206.69879995875064,59.484193011647136,262,78.11980033277896,85.77371048252954
"(9, 7, 3, 9, 5)",7,0.0,225.41230776418467,65.30782029950079,223,78.11980033277892,91.59733777038319
"(5, 7, 4, 3, 6)",3,0.0,240.50719598344446,89.60066555740475,113,78.20299500831966,98.41930116472606
"(5, 6, 9, 4, 6)",7,0.0,245.71313968456246,76.45590682196364,155,78.03660565723821,97.92013311148155
"(8, 6, 4, 6, 6)",5,0.0,232.5848861746205,69.63394342762075,196,78.119800332779,94.09317803660628
"(6, 6, 5, 4, 9)",8,0.0,238.0222922150436,64.89184692179695,203,78.11980033277892,96.00665557404385
"(3, 5, 6, 4, 9)",7,0.0,244.1378380748355,93.84359400998336,105,78.36938435940083,99.16805324459246
"(8, 3, 5, 4, 6)",7,0.0,232.36282259665035,71.79700499168075,185,78.11980033277905,94.25956738768787
"(8, 7, 9, 3, 3)",6,0.0,227.3688600671635,74.5424292845261,171,78.03660565723831,93.17803660565792
"(8, 9, 4, 5, 6)",3,0.0,232.01226639450925,67.30449251247926,209,78.11980033277898,93.92678868552473
"(4, 7, 4, 5, 9)",5,0.0,241.34133329965334,87.18801996672254,123,78.20299500831969,97.17138103161459
"(5, 8, 5, 4, 6)",4,0.0,245.67481196418032,76.45590682196364,155,78.03660565723821,97.92013311148155
"(4, 9, 7, 5, 8)",7,0.0,239.037468017288,83.1946755407658,135,78.28618968386054,96.5890183028293
"(4, 4, 5, 4, 5)",9,0.0,238.35624889971785,86.60565723793727,123,78.28618968386056,96.92179700499238
"(9, 5, 9, 9, 3)",7,0.0,214.76792126518356,63.47753743760391,238,78.11980033277891,88.10316139767096
"(5, 3, 9, 5, 7)",8,0.0,243.31136514119248,84.44259567387729,130,78.03660565723823,98.50249584026693
"(5, 3, 4, 5, 6)",5,0.0,244.6641148214155,90.43261231281227,111,78.28618968386027,99.00166389351128
"(4, 6, 4, 6, 3)",4,0.0,239.30889025270184,92.01331114808684,105,78.2029950083195,97.33777038269594
"(3, 9, 5, 6, 5)",9,0.0,244.61440441785464,92.17970049916809,110,78.36938435940084,99.001663893511
"(5, 3, 3, 5, 9)",4,0.0,241.50546846603947,94.42595673876907,95,78.28618968386026,98.9184692179705
"(4, 3, 7, 8, 3)",8,0.0,239.62817227519804,98.2529118136442,81,78.28618968386013,98.2529118136442
"(8, 7, 5, 9, 4)",5,0.0,223.3408925662855,64.30948419301157,230,78.03660565723814,91.34775374376088
"(3, 9, 8, 3, 8)",8,0.0,240.58833930338517,99.08485856905163,83,78.20299500831939,99.08485856905163
"(6, 5, 3, 6, 7)",9,0.0,237.56737233102714,81.53078202995047,136,78.03660565723825,97.08818635607392
"(4, 5, 7, 9, 9)",6,0.0,238.995445791475,84.27620632279579,131,78.28618968386056,96.75540765391085
"(5, 5, 3, 6, 4)",9,0.0,240.66716837993408,96.08985024958434,86,78.20299500831942,98.75207986688889
"(5, 4, 8, 6, 9)",6,0.0,244.99100953794868,78.45257903494205,149,78.11980033277898,98.16971713810385
"(5, 8, 9, 9, 4)",9,0.0,245.77748590387324,77.28785357737131,153,78.28618968386051,98.00332778702231
"(7, 3, 8, 5, 8)",5,0.0,238.7507653490647,76.87188019966752,155,78.11980033277902,93.92678868552477
"(9, 9, 3, 7, 4)",7,0.0,226.26587275006236,68.80199667221308,202,78.119800332779,92.2628951747094
"(4, 7, 8, 3, 7)",4,0.0,238.79161971687975,91.43094841930152,105,78.20299500831955,98.08652246256288
"(3, 4, 4, 5, 4)",5,0.0,240.4744739230114,99.41763727121466,76,78.369384359401,99.41763727121466
"(7, 8, 7, 7, 6)",3,0.0,232.22884411647675,70.21630615640613,194,78.11980033277901,91.76372712146481
"(3, 3, 5, 5, 9)",5,0.0,242.8764909083383,97.92013311148096,89,78.03660565723786,99.25124792013324
"(3, 8, 9, 7, 3)",5,0.0,244.5559812814392,92.84525790349421,108,78.36938435940083,99.08485856905175
"(6, 8, 8, 6, 4)",6,0.0,237.8422076045767,64.89184692179695,203,78.11980033277892,96.00665557404385
"(8, 9, 9, 7, 9)",3,0.0,223.3958816908977,64.30948419301157,230,78.03660565723814,91.34775374376088
"(5, 8, 8, 6, 4)",6,0.0,245.77748590387324,77.28785357737131,153,78.28618968386051,98.00332778702231
"(7, 8, 5, 7, 5)",6,0.0,232.29674058976835,70.21630615640613,194,78.11980033277901,91.76372712146481
"(8, 3, 3, 4, 8)",4,0.0,236.78409481031974,80.94841930116515,139,78.20299500831983,96.50582362728859
"(6, 4, 9, 4, 3)",3,0.0,238.8182294704569,71.04825291181383,178,78.03660565723827,97.00499168053317
"(5, 5, 3, 3, 6)",6,0.0,238.3825302481044,99.00166389351116,73,78.28618968386021,99.00166389351116
"(5, 5, 7, 5, 6)",5,0.0,244.92487345803443,79.95008319467586,145,78.28618968386051,98.33610648918538
"(8, 8, 3, 7, 6)",9,0.0,236.12307523314027,72.7121464226292,176,78.0366056572383,95.34109816971785
"(5, 5, 5, 4, 3)",9,0.0,243.38255332822666,82.77870216306195,136,78.28618968386053,98.3361064891854
"(8, 8, 3, 9, 6)",6,0.0,236.12307523314027,72.7121464226292,176,78.0366056572383,95.34109816971785
"(3, 3, 4, 6, 7)",8,0.0,241.8963384443718,99.33444259567392,78,78.20299500831945,99.33444259567392
"(6, 4, 8, 6, 6)",6,0.0,238.94214296656702,67.88685524126463,191,78.11980033277898,96.67221297837004
"(6, 8, 9, 7, 4)",3,0.0,237.8422076045767,64.89184692179695,203,78.11980033277892,96.00665557404385
"(5, 8, 8, 4, 8)",5,0.0,245.9225346854751,77.28785357737131,153,78.28618968386051,98.00332778702231
"(5, 8, 3, 7, 8)",5,0.0,242.30995808160048,86.85524126455945,124,78.20299500831968,98.41930116472608
"(9, 4, 5, 6, 4)",6,0.0,214.28113067796212,64.64226289517464,231,78.11980033277891,88.2695507487525
"(5, 8, 5, 6, 6)",6,0.0,245.67481196418032,76.45590682196364,155,78.03660565723821,97.92013311148155
"(4, 7, 6, 9, 6)",3,0.0,239.00850352457005,82.4459234608989,137,78.11980033277901,96.5890183028293
"(8, 3, 8, 6, 5)",9,0.0,231.69347225462337,72.9617304492515,179,78.11980033277906,94.25956738768788
"(9, 3, 6, 7, 7)",6,0.0,218.15186392847872,64.80865224625617,230,78.11980033277891,89.2678868552417
"(3, 7, 3, 4, 7)",9,0.0,243.48118355087178,99.33444259567398,85,78.36938435940097,99.33444259567398
"(9, 9, 4, 5, 4)",6,0.0,221.1593491922799,61.73044925124781,245,78.11980033277888,89.9334442595678
"(6, 4, 9, 9, 8)",6,0.0,238.10707262039674,66.22296173044924,198,78.2029950083197,96.33943427620693
