mf_inputs,mf_output,lb_rmse,score,coverage_topK,rules_to_target,coverage_at_target,cum_cov_all
"(8, 4, 8, 4, 4)",8.0,0.0,-49999888.82903941,30.841121495327076,1000000000.0,30.841121495327076,30.841121495327076
"(4, 7, 8, 7, 3)",9.0,0.0,-49999916.17176321,21.8068535825545,1000000000.0,21.8068535825545,21.8068535825545
"(8, 5, 7, 7, 3)",5.0,0.0,-49999907.3288985,24.299065420560726,1000000000.0,24.299065420560726,24.299065420560726
"(9, 4, 6, 3, 7)",9.0,0.0,-49999895.18457253,28.348909657320846,1000000000.0,28.348909657320846,28.348909657320846
"(5, 3, 9, 3, 5)",3.0,0.0,-49999861.76503789,39.2523364485981,1000000000.0,39.2523364485981,39.2523364485981
"(4, 7, 4, 9, 7)",9.0,0.0,-49999914.614617944,22.118380062305278,1000000000.0,22.118380062305278,22.118380062305278
,,,-1e+18,,,,
,,,-1e+18,,,,
,,,-1e+18,,,,
"(3, 6, 9, 9, 4)",7.0,0.0,-49999907.58644059,24.299065420560726,1000000000.0,24.299065420560726,24.299065420560726
"(3, 6, 8, 8, 5)",6.0,0.0,-49999899.745484956,26.479750778816175,1000000000.0,26.479750778816175,26.479750778816175
"(5, 7, 4, 7, 5)",5.0,0.0,-49999898.614796095,27.41433021806851,1000000000.0,27.41433021806851,27.41433021806851
"(5, 3, 6, 9, 3)",9.0,0.0,-49999877.620935686,33.3333333333333,1000000000.0,33.3333333333333,33.3333333333333
"(3, 3, 7, 5, 4)",3.0,0.0,-49999820.33961849,53.27102803738313,1000000000.0,53.27102803738313,53.27102803738313
,,,-1e+18,,,,
,,,-1e+18,,,,
"(4, 4, 9, 4, 8)",8.0,0.0,-49999890.18670791,29.906542056074738,1000000000.0,29.906542056074738,29.906542056074738
"(3, 8, 7, 8, 4)",9.0,0.0,-49999895.46650284,28.037383177570067,1000000000.0,28.037383177570067,28.037383177570067
"(4, 4, 5, 3, 9)",6.0,0.0,-49999849.319918334,42.99065420560744,1000000000.0,42.99065420560744,42.99065420560744
"(6, 8, 6, 3, 5)",7.0,0.0,-49999895.94953256,28.348909657320846,1000000000.0,28.348909657320846,28.348909657320846
,,,-1e+18,,,,
"(5, 9, 4, 7, 3)",5.0,0.0,-49999898.69106733,27.102803738317732,1000000000.0,27.102803738317732,27.102803738317732
,,,-1e+18,,,,
"(5, 9, 3, 5, 6)",7.0,0.0,-49999869.82622731,36.44859813084109,1000000000.0,36.44859813084109,36.44859813084109
"(6, 4, 4, 9, 3)",7.0,0.0,-49999864.33354609,38.00623052959498,1000000000.0,38.00623052959498,38.00623052959498
"(9, 4, 4, 5, 5)",8.0,0.0,-49999866.093478225,37.694704049844205,1000000000.0,37.694704049844205,37.694704049844205
,,,-1e+18,,,,
"(5, 3, 6, 6, 6)",6.0,0.0,-49999877.46456158,33.956386292834864,1000000000.0,33.956386292834864,33.956386292834864
,,,-1e+18,,,,
,,,-1e+18,,,,
"(7, 9, 5, 5, 5)",5.0,0.0,-49999911.24454414,23.67601246105917,1000000000.0,23.67601246105917,23.67601246105917
"(4, 4, 9, 8, 3)",6.0,0.0,-49999880.11463301,33.021806853582525,1000000000.0,33.021806853582525,33.021806853582525
,,,-1e+18,,,,
,,,-1e+18,,,,
"(9, 6, 3, 8, 7)",5.0,0.0,-49999914.803115614,22.118380062305278,1000000000.0,22.118380062305278,22.118380062305278
"(3, 9, 8, 4, 3)",4.0,0.0,-49999889.30271392,30.529595015576295,1000000000.0,30.529595015576295,30.529595015576295
"(9, 3, 6, 3, 5)",5.0,0.0,-49999881.299766034,33.333333333333314,1000000000.0,33.333333333333314,33.333333333333314
,,,-1e+18,,,,
"(3, 6, 9, 5, 6)",6.0,0.0,-49999899.21770602,27.41433021806851,1000000000.0,27.41433021806851,27.41433021806851
,,,-1e+18,,,,
"(4, 9, 4, 5, 6)",9.0,0.0,-49999876.93584674,33.64485981308408,1000000000.0,33.64485981308408,33.64485981308408
,,,-1e+18,,,,
"(6, 5, 8, 6, 7)",5.0,0.0,-49999921.82123375,19.93769470404983,1000000000.0,19.93769470404983,19.93769470404983
"(5, 8, 7, 3, 4)",3.0,0.0,-49999879.79962259,33.3333333333333,1000000000.0,33.3333333333333,33.3333333333333
"(3, 4, 8, 5, 5)",9.0,0.0,-49999855.497614935,41.12149532710277,1000000000.0,41.12149532710277,41.12149532710277
,,,-1e+18,,,,
,,,-1e+18,,,,
"(5, 5, 8, 6, 5)",6.0,0.0,-49999906.985332966,24.610591900311505,1000000000.0,24.610591900311505,24.610591900311505
"(7, 8, 3, 6, 7)",3.0,0.0,-49999898.80964542,27.41433021806851,1000000000.0,27.41433021806851,27.41433021806851
,,,-1e+18,,,,
"(7, 9, 6, 4, 5)",8.0,0.0,-49999910.05039458,23.67601246105917,1000000000.0,23.67601246105917,23.67601246105917
