mf_inputs,mf_output,lb_rmse,score,coverage_topK,rules_to_target,coverage_at_target,cum_cov_all
"(8, 5, 6, 7, 6)",7,0.0,-49999804.64291293,57.908163265305994,1000000000,57.908163265305994,57.908163265305994
"(8, 8, 9, 9, 3)",5,0.0,-49999798.04376071,59.183673469387635,1000000000,59.183673469387635,59.183673469387635
"(7, 9, 7, 5, 4)",6,0.0,-49999785.847974285,64.54081632653046,1000000000,64.54081632653046,64.54081632653046
"(8, 3, 9, 4, 6)",6,0.0,-49999768.26708541,69.38775510204064,1000000000,69.38775510204064,69.38775510204064
"(5, 8, 3, 6, 7)",4,0.0,-49999767.58796437,70.15306122448962,1000000000,70.15306122448962,70.15306122448962
"(3, 9, 7, 6, 3)",8,0.0,-49999748.25271784,77.80612244897945,1000000000,77.80612244897945,77.80612244897945
"(7, 9, 7, 9, 5)",7,0.0,-49999824.242516205,50.510204081632594,1000000000,50.510204081632594,50.510204081632594
"(7, 3, 8, 4, 3)",4,0.0,210.43266669442536,82.14285714285708,67,78.06122448979588,82.14285714285708
"(9, 6, 6, 7, 8)",8,0.0,-49999814.65383218,53.571428571428484,1000000000,53.571428571428484,53.571428571428484
"(3, 5, 7, 6, 7)",6,0.0,-49999773.431728125,67.85714285714269,1000000000,67.85714285714269,67.85714285714269
"(9, 6, 8, 9, 8)",8,0.0,-49999840.54385122,44.64285714285711,1000000000,44.64285714285711,44.64285714285711
"(3, 4, 9, 7, 9)",4,0.0,-49999793.9653317,59.43877551020397,1000000000,59.43877551020397,59.43877551020397
"(6, 8, 5, 9, 6)",5,0.0,-49999796.06901197,59.693877551020286,1000000000,59.693877551020286,59.693877551020286
"(8, 7, 3, 6, 5)",6,0.0,-49999762.41116581,72.19387755102026,1000000000,72.19387755102026,72.19387755102026
"(3, 7, 9, 9, 8)",9,0.0,-49999812.70827617,53.06122448979584,1000000000,53.06122448979584,53.06122448979584
"(5, 9, 3, 9, 4)",8,0.0,-49999775.5865266,69.13265306122433,1000000000,69.13265306122433,69.13265306122433
"(9, 9, 4, 6, 8)",6,0.0,-49999826.73788463,49.23469387755096,1000000000,49.23469387755096,49.23469387755096
"(8, 7, 7, 6, 3)",6,0.0,-49999770.790703155,70.15306122448966,1000000000,70.15306122448966,70.15306122448966
"(8, 6, 5, 8, 9)",4,0.0,-49999827.72889389,48.97959183673464,1000000000,48.97959183673464,48.97959183673464
"(3, 3, 8, 8, 9)",4,0.0,-49999791.325378045,60.969387755101906,1000000000,60.969387755101906,60.969387755101906
"(7, 3, 3, 8, 7)",6,0.0,-49999775.11833458,68.877551020408,1000000000,68.877551020408,68.877551020408
"(9, 6, 3, 3, 4)",8,0.0,208.51888914487378,81.88775510204073,64,78.31632653061217,81.88775510204073
"(4, 5, 6, 9, 4)",4,0.0,-49999770.63548891,72.44897959183665,1000000000,72.44897959183665,72.44897959183665
"(3, 7, 8, 7, 7)",6,0.0,-49999794.01200093,59.94897959183661,1000000000,59.94897959183661,59.94897959183661
"(6, 7, 3, 3, 3)",9,0.0,213.46211807903063,89.03061224489785,45,78.31632653061219,89.03061224489785
"(4, 4, 8, 3, 6)",7,0.0,212.58200987559937,83.41836734693865,79,78.31632653061214,83.41836734693865
"(6, 4, 4, 4, 5)",5,0.0,212.40720794683517,84.94897959183666,62,78.3163265306122,84.94897959183666
"(4, 4, 5, 7, 7)",5,0.0,-49999752.82896032,76.27551020408148,1000000000,76.27551020408148,76.27551020408148
"(5, 4, 8, 7, 5)",6,0.0,-49999774.259654954,69.13265306122435,1000000000,69.13265306122435,69.13265306122435
"(6, 8, 9, 4, 8)",3,0.0,-49999801.32761799,57.397959183673365,1000000000,57.397959183673365,57.397959183673365
"(8, 9, 6, 4, 6)",5,0.0,-49999810.142161354,55.8673469387754,1000000000,55.8673469387754,55.8673469387754
"(6, 8, 4, 3, 6)",9,0.0,204.82005470746748,78.8265306122448,85,78.31632653061214,78.8265306122448
"(8, 3, 5, 8, 9)",4,0.0,-49999802.244784676,56.37755102040808,1000000000,56.37755102040808,56.37755102040808
"(8, 4, 7, 3, 7)",8,0.0,-49999763.71984262,73.21428571428561,1000000000,73.21428571428561,73.21428571428561
"(9, 6, 5, 4, 7)",5,0.0,-49999770.05167748,69.64285714285695,1000000000,69.64285714285695,69.64285714285695
"(6, 7, 4, 3, 7)",8,0.0,203.96570996027015,78.06122448979583,86,78.06122448979583,78.06122448979583
"(3, 8, 7, 5, 5)",5,0.0,-49999769.399927214,70.91836734693862,1000000000,70.91836734693862,70.91836734693862
"(6, 7, 4, 8, 8)",3,0.0,-49999799.1692047,58.92857142857131,1000000000,58.92857142857131,58.92857142857131
"(3, 9, 5, 7, 9)",5,0.0,-49999821.96829809,51.78571428571421,1000000000,51.78571428571421,51.78571428571421
"(8, 6, 3, 4, 7)",7,0.0,-49999762.07699775,73.21428571428555,1000000000,73.21428571428555,73.21428571428555
"(8, 3, 6, 6, 8)",9,0.0,-49999795.76405166,60.20408163265293,1000000000,60.20408163265293,60.20408163265293
"(9, 9, 4, 4, 6)",4,0.0,-49999785.05238141,64.28571428571412,1000000000,64.28571428571412,64.28571428571412
"(3, 6, 6, 6, 3)",3,0.0,215.3454755421796,86.73469387755094,68,78.06122448979588,86.73469387755094
"(8, 5, 7, 9, 3)",8,0.0,-49999780.82162699,67.09183673469373,1000000000,67.09183673469373,67.09183673469373
"(4, 3, 4, 4, 6)",8,0.0,214.1289730791349,85.204081632653,59,78.06122448979589,85.204081632653
"(7, 5, 9, 3, 6)",5,0.0,-49999778.141928256,68.11224489795903,1000000000,68.11224489795903,68.11224489795903
"(3, 6, 4, 9, 6)",8,0.0,-49999754.13485399,75.25510204081614,1000000000,75.25510204081614,75.25510204081614
"(8, 9, 8, 8, 8)",8,0.0,-49999857.358901225,38.52040816326531,1000000000,38.52040816326531,38.52040816326531
"(8, 5, 3, 3, 5)",7,0.0,206.74090246110134,80.35714285714278,71,78.31632653061217,80.35714285714278
"(6, 5, 5, 6, 6)",7,0.0,-49999773.81098989,69.64285714285701,1000000000,69.64285714285701,69.64285714285701
"(6, 8, 3, 9, 9)",5,0.0,-49999807.59677665,55.86734693877541,1000000000,55.86734693877541,55.86734693877541
"(7, 6, 9, 7, 5)",8,0.0,-49999806.66419949,56.88775510204071,1000000000,56.88775510204071,56.88775510204071
"(6, 9, 5, 8, 5)",4,0.0,-49999802.57631297,58.9285714285713,1000000000,58.9285714285713,58.9285714285713
"(8, 9, 3, 9, 9)",3,0.0,-49999842.858278416,43.11224489795917,1000000000,43.11224489795917,43.11224489795917
"(9, 7, 3, 7, 8)",5,0.0,-49999794.78421688,58.41836734693867,1000000000,58.41836734693867,58.41836734693867
"(5, 3, 3, 7, 9)",7,0.0,-49999761.12075692,72.70408163265287,1000000000,72.70408163265287,72.70408163265287
"(8, 3, 4, 6, 6)",8,0.0,-49999755.503227465,74.99999999999983,1000000000,74.99999999999983,74.99999999999983
"(4, 6, 3, 8, 8)",5,0.0,-49999762.08647071,72.19387755102022,1000000000,72.19387755102022,72.19387755102022
"(3, 5, 8, 7, 6)",7,0.0,-49999785.958651386,64.03061224489781,1000000000,64.03061224489781,64.03061224489781
"(5, 7, 8, 5, 7)",6,0.0,-49999785.65375603,63.01020408163251,1000000000,63.01020408163251,63.01020408163251
"(7, 9, 6, 5, 9)",4,0.0,-49999837.65617994,46.42857142857138,1000000000,46.42857142857138,46.42857142857138
"(4, 8, 5, 8, 8)",6,0.0,-49999799.43188652,58.41836734693866,1000000000,58.41836734693866,58.41836734693866
"(3, 4, 9, 6, 7)",4,0.0,-49999759.566571884,71.17346938775492,1000000000,71.17346938775492,71.17346938775492
"(7, 4, 8, 9, 9)",4,0.0,-49999821.0180381,50.76530612244892,1000000000,50.76530612244892,50.76530612244892
"(7, 4, 7, 6, 3)",5,0.0,204.08685281436922,78.57142857142846,82,78.0612244897958,78.57142857142846
"(3, 9, 8, 9, 6)",8,0.0,-49999808.75367302,54.59183673469379,1000000000,54.59183673469379,54.59183673469379
"(6, 5, 9, 5, 9)",3,0.0,-49999814.85251384,53.571428571428484,1000000000,53.571428571428484,53.571428571428484
"(6, 7, 9, 8, 9)",8,0.0,-49999848.03557794,42.60204081632651,1000000000,42.60204081632651,42.60204081632651
"(3, 4, 5, 3, 5)",7,0.0,213.61430359762767,88.77551020408151,45,78.31632653061217,88.77551020408151
"(4, 3, 7, 3, 3)",7,0.0,218.09993190912024,89.28571428571419,42,78.57142857142853,89.28571428571419
"(3, 8, 5, 4, 5)",6,0.0,208.96030519241927,82.142857142857,81,78.06122448979579,82.142857142857
"(9, 8, 3, 4, 9)",9,0.0,-49999781.69560059,63.77551020408149,1000000000,63.77551020408149,63.77551020408149
"(5, 4, 3, 5, 3)",8,0.0,220.08734471587206,91.32653061224478,42,78.57142857142851,91.32653061224478
"(3, 4, 8, 4, 8)",3,0.0,-49999754.80975243,74.99999999999982,1000000000,74.99999999999982,74.99999999999982
"(5, 6, 8, 6, 7)",5,0.0,-49999793.77198972,60.20408163265293,1000000000,60.20408163265293,60.20408163265293
"(7, 9, 8, 6, 9)",5,0.0,-49999862.47346214,38.010204081632665,1000000000,38.010204081632665,38.010204081632665
"(3, 4, 5, 9, 9)",4,0.0,-49999767.373032786,69.13265306122432,1000000000,69.13265306122432,69.13265306122432
"(3, 9, 6, 9, 9)",3,0.0,-49999828.882375896,48.724489795918316,1000000000,48.724489795918316,48.724489795918316
"(3, 3, 4, 4, 5)",4,0.0,218.11014701902354,88.5204081632652,46,78.31632653061219,88.5204081632652
"(4, 3, 6, 4, 9)",8,0.0,-49999755.50234626,76.02040816326516,1000000000,76.02040816326516,76.02040816326516
"(4, 6, 5, 5, 6)",8,0.0,-49999752.119946055,77.55102040816315,1000000000,77.55102040816315,77.55102040816315
"(7, 6, 4, 9, 7)",9,0.0,-49999785.47089644,63.52040816326516,1000000000,63.52040816326516,63.52040816326516
"(7, 3, 7, 3, 3)",8,0.0,208.7560906432663,83.16326530612238,56,78.06122448979588,83.16326530612238
"(7, 7, 3, 4, 8)",9,0.0,-49999760.29406596,72.70408163265287,1000000000,72.70408163265287,72.70408163265287
"(5, 4, 5, 5, 6)",6,0.0,209.62743637372435,81.12244897959175,77,78.06122448979585,81.12244897959175
"(5, 5, 3, 7, 6)",8,0.0,-49999755.52689669,76.02040816326517,1000000000,76.02040816326517,76.02040816326517
"(8, 7, 8, 9, 7)",6,0.0,-49999842.16522547,43.87755102040814,1000000000,43.87755102040814,43.87755102040814
"(9, 4, 9, 3, 3)",4,0.0,206.7609471696635,80.35714285714278,73,78.31632653061217,80.35714285714278
"(8, 9, 8, 7, 9)",8,0.0,-49999863.749026,36.98979591836736,1000000000,36.98979591836736,36.98979591836736
"(5, 3, 8, 9, 9)",4,0.0,-49999803.06180386,56.88775510204071,1000000000,56.88775510204071,56.88775510204071
"(4, 6, 8, 8, 7)",3,0.0,-49999799.377008006,58.67346938775498,1000000000,58.67346938775498,58.67346938775498
"(7, 9, 5, 7, 6)",4,0.0,-49999807.147009514,56.12244897959173,1000000000,56.12244897959173,56.12244897959173
"(5, 7, 6, 7, 6)",8,0.0,-49999780.666388676,64.79591836734679,1000000000,64.79591836734679,64.79591836734679
"(4, 5, 9, 6, 6)",8,0.0,-49999786.660887204,63.77551020408148,1000000000,63.77551020408148,63.77551020408148
"(5, 3, 7, 9, 8)",6,0.0,-49999792.398779586,60.71428571428559,1000000000,60.71428571428559,60.71428571428559
"(9, 8, 3, 8, 5)",5,0.0,-49999784.757751085,64.03061224489781,1000000000,64.03061224489781,64.03061224489781
"(9, 3, 3, 5, 5)",3,0.0,210.13246579511437,81.63265306122436,82,78.0612244897958,81.63265306122436
"(5, 3, 6, 4, 7)",6,0.0,-49999758.916107364,76.78571428571422,1000000000,76.78571428571422,76.78571428571422
"(8, 9, 8, 9, 5)",5,0.0,-49999840.50858949,45.15306122448977,1000000000,45.15306122448977,45.15306122448977
"(6, 4, 8, 5, 3)",9,0.0,208.40729012113167,81.12244897959177,75,78.06122448979586,81.12244897959177
"(6, 3, 5, 3, 9)",6,0.0,-49999758.91255305,76.78571428571416,1000000000,76.78571428571416,76.78571428571416
"(5, 7, 9, 6, 9)",5,0.0,-49999821.961928144,50.25510204081627,1000000000,50.25510204081627,50.25510204081627
"(9, 8, 6, 4, 6)",4,0.0,-49999788.405035295,63.0102040816325,1000000000,63.0102040816325,63.0102040816325
"(3, 3, 9, 6, 8)",9,0.0,-49999778.84773754,65.30612244897944,1000000000,65.30612244897944,65.30612244897944
"(6, 4, 4, 6, 4)",8,0.0,210.46223038687907,83.41836734693867,71,78.31632653061216,83.41836734693867
"(3, 3, 3, 8, 5)",7,0.0,210.22900955541851,82.65306122448973,65,78.06122448979588,82.65306122448973
"(5, 6, 9, 6, 9)",5,0.0,-49999806.53810615,55.10204081632644,1000000000,55.10204081632644,55.10204081632644
"(4, 6, 4, 3, 6)",3,0.0,214.25070443257113,85.96938775510196,66,78.3163265306122,85.96938775510196
"(4, 3, 4, 4, 4)",8,0.0,217.00468754429573,88.5204081632652,41,78.31632653061219,88.5204081632652
"(3, 5, 8, 4, 4)",5,0.0,206.36303788597428,79.59183673469381,74,78.06122448979586,79.59183673469381
"(8, 5, 7, 4, 7)",5,0.0,-49999780.557258785,65.30612244897944,1000000000,65.30612244897944,65.30612244897944
"(6, 4, 5, 8, 3)",8,0.0,208.96072881686612,82.14285714285705,74,78.06122448979585,82.14285714285705
"(4, 5, 9, 7, 5)",8,0.0,-49999789.308510795,63.77551020408147,1000000000,63.77551020408147,63.77551020408147
"(5, 4, 9, 4, 7)",4,0.0,-49999760.05161833,73.21428571428555,1000000000,73.21428571428555,73.21428571428555
"(3, 3, 4, 8, 6)",8,0.0,205.5304835720786,78.31632653061216,86,78.31632653061216,78.31632653061216
"(4, 8, 4, 5, 9)",4,0.0,-49999775.20987291,67.34693877551004,1000000000,67.34693877551004,67.34693877551004
"(3, 8, 7, 6, 8)",4,0.0,-49999791.586398534,60.20408163265294,1000000000,60.20408163265294,60.20408163265294
"(4, 8, 9, 7, 3)",7,0.0,-49999761.53135768,72.95918367346923,1000000000,72.95918367346923,72.95918367346923
"(7, 8, 9, 4, 9)",9,0.0,-49999818.68355356,51.530612244897895,1000000000,51.530612244897895,51.530612244897895
"(9, 9, 5, 8, 7)",6,0.0,-49999840.01984802,45.15306122448976,1000000000,45.15306122448976,45.15306122448976
"(6, 6, 6, 5, 3)",7,0.0,207.00733544726972,80.86734693877544,74,78.31632653061219,80.86734693877544
"(4, 9, 3, 3, 4)",7,0.0,212.1778811849544,85.20408163265299,58,78.06122448979588,85.20408163265299
"(4, 6, 6, 5, 3)",7,0.0,212.52038135724294,85.204081632653,64,78.06122448979589,85.204081632653
"(9, 9, 9, 3, 8)",7,0.0,-49999817.853331625,52.295918367346864,1000000000,52.295918367346864,52.295918367346864
"(8, 9, 3, 6, 4)",5,0.0,-49999767.28916397,70.15306122448962,1000000000,70.15306122448962,70.15306122448962
"(3, 9, 8, 4, 5)",3,0.0,-49999775.109292686,68.36734693877534,1000000000,68.36734693877534,68.36734693877534
"(6, 5, 5, 5, 9)",8,0.0,-49999776.54060151,66.58163265306106,1000000000,66.58163265306106,66.58163265306106
"(7, 4, 5, 4, 5)",3,0.0,204.73371813815183,79.33673469387746,70,78.31632653061216,79.33673469387746
"(6, 4, 4, 8, 7)",5,0.0,-49999770.23171578,70.40816326530597,1000000000,70.40816326530597,70.40816326530597
"(5, 6, 4, 8, 3)",5,0.0,209.83371352570387,81.88775510204071,77,78.31632653061216,81.88775510204071
"(3, 8, 3, 3, 3)",4,0.0,216.1366808749821,92.34693877551008,37,78.06122448979586,92.34693877551008
"(5, 5, 5, 9, 6)",9,0.0,-49999781.805902146,66.0714285714284,1000000000,66.0714285714284,66.0714285714284
"(5, 7, 8, 7, 5)",4,0.0,-49999792.67191478,61.479591836734556,1000000000,61.479591836734556,61.479591836734556
"(5, 9, 3, 3, 6)",3,0.0,205.54826095952137,79.08163265306109,86,78.06122448979579,79.08163265306109
"(7, 4, 6, 9, 4)",7,0.0,-49999778.91005883,69.13265306122436,1000000000,69.13265306122436,69.13265306122436
"(5, 6, 9, 8, 3)",6,0.0,-49999769.24221969,70.66326530612228,1000000000,70.66326530612228,70.66326530612228
