mf_inputs,mf_output,lb_rmse,score,coverage_topK,rules_to_target,coverage_at_target,cum_cov_all
"(4, 6, 7, 6, 7)",4,0.0,201.68395527201346,61.65048543689331,235,78.1553398058257,82.42718446602
"(4, 8, 5, 7, 5)",4,0.0,213.1738391194073,70.87378640776723,187,78.0582524271849,87.18446601941815
"(3, 4, 3, 7, 6)",3,0.0,224.38122030221973,80.38834951456299,138,78.05825242718429,89.51456310679625
"(4, 4, 4, 7, 4)",9,0.0,228.24484907254558,82.91262135922324,125,78.05825242718427,91.65048543689338
"(9, 4, 3, 5, 7)",3,0.0,206.11037698408543,67.86407766990315,203,78.15533980582576,84.95145631068031
"(8, 5, 8, 9, 9)",5,0.0,-49999683.733124904,51.16504854368925,1000000000,74.27184466019426,74.27184466019426
"(5, 5, 4, 3, 9)",8,0.0,214.4140847256063,77.7669902912622,152,78.15533980582532,87.28155339805858
"(5, 6, 8, 9, 9)",5,0.0,-49999681.82488522,52.233009708737804,1000000000,75.33980582524285,75.33980582524285
"(8, 6, 5, 9, 5)",8,0.0,201.29445527090687,65.04854368932052,217,78.05825242718495,83.30097087378704
"(4, 8, 7, 8, 7)",7,0.0,190.55791781374612,58.73786407766994,250,78.1553398058256,78.54368932038872
"(4, 6, 9, 7, 3)",4,0.0,216.36961559253191,75.53398058252432,163,78.05825242718458,88.93203883495187
"(5, 7, 8, 4, 8)",9,0.0,193.70410148423963,59.8058252427185,244,78.05825242718485,80.194174757282
"(9, 7, 4, 5, 7)",4,0.0,196.7429654519174,62.81553398058259,229,78.15533980582568,81.84466019417529
"(4, 9, 4, 6, 9)",8,0.0,194.59103610815606,61.84466019417483,234,78.15533980582568,80.48543689320438
"(3, 9, 4, 9, 9)",4,0.0,189.67844830506007,60.00000000000004,243,78.05825242718485,78.44660194174797
"(5, 6, 3, 4, 5)",4,0.0,224.35825494583233,83.39805825242706,124,78.15533980582501,90.97087378640785
"(6, 6, 7, 8, 7)",4,0.0,190.9714473797556,58.15533980582527,253,78.15533980582559,78.73786407767027
"(8, 3, 4, 6, 3)",6,0.0,224.09379842264536,83.3009708737864,123,78.05825242718431,91.84466019417498
"(8, 4, 4, 5, 6)",6,0.0,211.23684384712237,72.23300970873805,180,78.05825242718481,86.01941747572872
"(7, 9, 7, 9, 6)",4,0.0,-49999682.33149533,53.689320388349444,1000000000,76.40776699029142,76.40776699029142
"(5, 3, 5, 7, 8)",3,0.0,202.31592775639604,66.31067961165066,211,78.15533980582573,82.81553398058314
"(8, 9, 5, 8, 7)",4,0.0,189.66406896788723,57.18446601941747,258,78.15533980582555,78.3495145631071
"(5, 7, 7, 8, 8)",7,0.0,-49999681.43663822,55.43689320388348,1000000000,76.79611650485461,76.79611650485461
"(4, 3, 7, 9, 4)",9,0.0,215.63265786485982,70.7766990291264,188,78.15533980582563,89.41747572815603
"(6, 6, 9, 7, 8)",9,0.0,-49999686.73013227,53.10679611650479,1000000000,74.6601941747574,74.6601941747574
"(6, 9, 6, 4, 8)",4,0.0,-49999697.17334611,60.970873786407815,1000000000,77.08737864077708,77.08737864077708
"(6, 5, 7, 4, 3)",6,0.0,224.0401241520536,83.30097087378631,126,78.15533980582508,91.26213592233022
"(8, 9, 7, 9, 4)",9,0.0,198.2519672522092,59.61165048543692,245,78.05825242718483,83.49514563106847
"(7, 3, 4, 6, 7)",5,0.0,204.4989193462377,68.25242718446628,201,78.15533980582578,83.98058252427253
"(7, 6, 9, 7, 7)",6,0.0,-49999684.34396607,53.59223300970868,1000000000,75.72815533980598,75.72815533980598
"(5, 8, 9, 3, 9)",7,0.0,-49999691.25331056,57.96116504854369,1000000000,77.18446601941777,77.18446601941777
"(8, 5, 3, 7, 5)",6,0.0,213.3773357740591,72.03883495145648,181,78.0582524271848,86.9902912621365
"(4, 4, 8, 8, 5)",9,0.0,212.66105586703074,68.93203883495165,197,78.05825242718491,87.37864077669973
"(8, 7, 7, 4, 6)",8,0.0,198.36542054179245,63.68932038834961,224,78.05825242718494,81.94174757281611
"(9, 9, 8, 6, 8)",5,0.0,-49999692.92470909,48.3495145631067,1000000000,70.67961165048537,70.67961165048537
"(7, 4, 4, 4, 7)",9,0.0,216.3630519634585,72.7184466019419,178,78.15533980582555,88.83495145631127
"(7, 7, 5, 4, 9)",7,0.0,192.62597594623594,62.3300970873787,231,78.05825242718488,79.61165048543735
"(7, 3, 9, 7, 9)",3,0.0,-49999684.62509589,54.368932038834906,1000000000,76.11650485436913,76.11650485436913
"(8, 9, 6, 9, 4)",5,0.0,201.73153888301684,63.39805825242726,226,78.15533980582569,84.36893203883557
"(3, 7, 3, 9, 4)",6,0.0,219.48089258785933,76.60194174757287,158,78.15533980582534,89.80582524271885
"(8, 7, 4, 7, 8)",6,0.0,-49999688.70076048,58.54368932038837,1000000000,77.57281553398091,77.57281553398091
"(8, 7, 6, 6, 4)",6,0.0,206.7352976001684,68.15533980582552,201,78.05825242718501,85.6310679611658
"(3, 5, 8, 5, 5)",3,0.0,216.71824902079186,74.07766990291262,171,78.15533980582535,88.2524271844664
"(8, 3, 5, 6, 5)",9,0.0,215.29982974755387,72.23300970873798,180,78.05825242718474,87.57281553398111
"(5, 8, 6, 6, 9)",7,0.0,-49999689.4614408,58.15533980582525,1000000000,77.37864077669934,77.37864077669934
"(4, 6, 5, 4, 3)",9,0.0,232.33170156552063,91.16504854368921,95,78.05825242718436,95.04854368932038
"(6, 8, 7, 6, 3)",6,0.0,214.0628948172197,73.30097087378662,175,78.15533980582559,89.41747572815599
"(8, 3, 5, 5, 6)",6,0.0,213.40687008523992,70.00000000000024,192,78.1553398058257,86.89320388349584
"(3, 5, 3, 5, 4)",6,0.0,230.61065511620274,88.93203883495124,105,78.15533980582504,94.17475728155333
"(5, 6, 8, 8, 3)",3,0.0,217.24941974285903,73.00970873786417,176,78.0582524271847,88.73786407767042
"(7, 8, 9, 3, 5)",7,0.0,200.234573533167,64.17475728155348,222,78.1553398058257,83.98058252427246
"(6, 5, 5, 5, 4)",3,0.0,222.20351580751398,77.47572815533977,153,78.05825242718444,90.4854368932042
"(5, 3, 5, 8, 7)",3,0.0,212.32866173291072,67.37864077669929,205,78.05825242718501,85.6310679611658
