mf_inputs,mf_output,lb_rmse,score,coverage_topK,rules_to_target,coverage_at_target,cum_cov_all
"(4, 4, 5, 3, 4)",3,0.0,228.4246058394666,86.31074606433941,110,78.02874743326464,93.15537303216985
"(5, 4, 6, 6, 4)",8,0.0,189.12034485839783,59.89048596851468,270,78.0287474332652,80.49281314168415
"(8, 3, 5, 7, 6)",7,0.0,-49999675.47657746,51.67693360711833,1000000000,73.44284736481852,73.44284736481852
"(9, 7, 3, 7, 3)",4,0.0,192.9364940098446,56.05749486652978,292,78.0971937029435,80.69815195071907
"(5, 5, 4, 8, 3)",9,0.0,216.65302939016433,67.07734428473654,206,78.02874743326524,86.7898699520882
"(5, 8, 8, 6, 8)",4,0.0,-49999718.59537706,33.19644079397662,1000000000,52.63518138261405,52.63518138261405
"(6, 6, 3, 6, 8)",8,0.0,-49999675.2965412,50.581793292265495,1000000000,72.8268309377138,72.8268309377138
"(8, 9, 3, 4, 9)",4,0.0,-49999672.544948064,45.58521560574939,1000000000,69.47296372347671,69.47296372347671
"(5, 6, 3, 7, 5)",5,0.0,192.12499288249288,56.53661875427789,291,78.02874743326518,80.76659822039736
"(6, 9, 8, 8, 3)",9,0.0,-49999686.60901199,38.466803559205886,1000000000,61.46475017111496,61.46475017111496
"(9, 4, 9, 3, 7)",8,0.0,-49999663.45154976,46.95414099931544,1000000000,72.6899383983571,72.6899383983571
"(9, 4, 7, 5, 5)",8,0.0,-49999661.976987384,41.47843942505122,1000000000,68.58316221765864,68.58316221765864
"(7, 4, 9, 7, 6)",7,0.0,-49999695.681447685,40.246406570841756,1000000000,61.327857631758405,61.327857631758405
"(8, 6, 3, 5, 3)",6,0.0,215.92724171200064,69.19917864476383,202,78.0287474332651,86.65297741273145
"(6, 5, 8, 8, 6)",5,0.0,-49999696.28813345,37.44010951403133,1000000000,59.206023271730984,59.206023271730984
"(3, 8, 7, 4, 8)",9,0.0,-49999656.51206461,49.07597535934283,1000000000,75.9069130732375,75.9069130732375
"(4, 3, 5, 3, 6)",7,0.0,223.98767831712598,84.8049281314168,116,78.09719370294297,91.1019849418208
"(7, 3, 9, 7, 6)",4,0.0,-49999686.215218514,43.80561259411352,1000000000,65.50308008213496,65.50308008213496
"(7, 9, 3, 6, 7)",5,0.0,-49999673.161949694,43.80561259411352,1000000000,68.10403832991055,68.10403832991055
"(6, 4, 3, 4, 8)",3,0.0,208.86574460463817,69.13073237508567,207,78.09719370294354,85.07871321013059
"(9, 9, 7, 5, 8)",3,0.0,-49999736.51273149,28.952772073921956,1000000000,46.33812457221044,46.33812457221044
"(7, 3, 4, 7, 4)",4,0.0,200.33932354974795,64.27104722792603,239,78.09719370294351,83.84668035592108
"(3, 8, 8, 3, 8)",3,0.0,185.40131609529746,52.703627652292894,319,78.09719370294334,78.64476386036978
"(4, 3, 3, 5, 7)",4,0.0,226.4564407198907,81.04038329911012,136,78.16563997262134,91.03353867214256
"(7, 4, 4, 5, 4)",8,0.0,205.71676704646111,64.88706365503073,227,78.02874743326517,84.736481861739
"(9, 3, 9, 9, 3)",8,0.0,-49999667.41985982,42.36824093086917,1000000000,67.9671457905539,67.9671457905539
"(5, 4, 5, 3, 6)",9,0.0,220.89661056678827,75.49623545516764,163,78.1656399726215,89.18548939082851
"(9, 3, 7, 5, 4)",6,0.0,-49999666.58775601,50.787132101300394,1000000000,75.15400410677616,75.15400410677616
"(8, 7, 3, 3, 3)",4,0.0,229.2593013953857,81.79329226557132,132,78.09719370294289,90.55441478439428
"(8, 6, 5, 3, 4)",7,0.0,194.4191850208226,60.78028747433259,264,78.09719370294349,82.06707734428514
"(7, 7, 6, 4, 5)",4,0.0,-49999643.649965346,44.695414099931455,1000000000,74.67488021902788,74.67488021902788
"(9, 4, 5, 5, 9)",3,0.0,-49999678.78904208,43.942505133470114,1000000000,67.41957563312752,67.41957563312752
"(3, 8, 4, 3, 7)",4,0.0,223.93882554909865,74.46954140999303,168,78.16563997262146,89.18548939082847
"(7, 9, 7, 7, 8)",6,0.0,-49999736.08727802,30.184804928131378,1000000000,47.29637234770663,47.29637234770663
"(8, 6, 9, 4, 9)",7,0.0,-49999714.51027681,34.976043805612406,1000000000,54.277891854893234,54.277891854893234
"(7, 4, 7, 4, 8)",8,0.0,-49999665.79531589,48.5284052019164,1000000000,73.16906228610527,73.16906228610527
"(9, 5, 9, 6, 4)",8,0.0,-49999706.60611451,37.37166324435301,1000000000,57.49486652977345,57.49486652977345
"(5, 9, 7, 3, 4)",4,0.0,189.11318724088122,55.3045859000684,298,78.02874743326512,80.08213552361426
"(8, 6, 3, 7, 5)",9,0.0,-49999667.596147574,47.98083504448998,1000000000,72.34770704996555,72.34770704996555
"(9, 4, 6, 3, 9)",9,0.0,-49999669.448099844,52.840520191649496,1000000000,75.49623545516774,75.49623545516774
"(5, 4, 7, 4, 3)",7,0.0,227.0569097334259,77.89185489390802,151,78.09719370294293,89.80150581793298
"(3, 3, 7, 3, 9)",7,0.0,219.69596244480604,77.20739219712517,154,78.02874743326483,88.5694729637237
"(9, 8, 4, 8, 8)",9,0.0,-49999720.246398695,31.41683778234081,1000000000,50.99247091033486,50.99247091033486
"(8, 4, 4, 3, 5)",9,0.0,220.66669569865434,71.04722792607798,187,78.02874743326502,87.74811772758424
"(6, 5, 5, 7, 6)",7,0.0,-49999659.77842891,47.77549623545507,1000000000,73.99041752224488,73.99041752224488
"(8, 9, 8, 6, 7)",4,0.0,-49999752.44022345,28.610540725530452,1000000000,43.53182751540012,43.53182751540012
