mf_inputs,mf_output,lb_rmse,score,coverage_topK,rules_to_target,coverage_at_target,cum_cov_all
"(6, 9, 4, 8)",3.0,0.0,228.92043060218154,96.47532729103735,53.0,78.24773413897285,96.47532729103735
"(5, 3, 5, 9)",6.0,0.0,218.1481172968228,97.38167170191343,38.0,78.5498489425982,97.38167170191343
"(9, 3, 9, 4)",5.0,0.0,228.8168862276594,96.37462235649555,53.0,78.04632426988925,96.37462235649555
"(6, 4, 5, 9)",5.0,0.0,226.21613538823482,96.8781470292045,41.0,78.14702920443104,96.8781470292045
"(5, 8, 7, 5)",8.0,0.0,230.73595352395387,96.87814702920443,49.0,78.54984894259816,96.87814702920443
"(8, 7, 5, 5)",6.0,0.0,229.20327219343227,96.77744209466263,49.0,78.3484390735146,96.77744209466263
"(7, 8, 7, 5)",6.0,0.0,231.12441671483788,95.56898288016112,57.0,78.44914400805638,95.56898288016112
"(5, 5, 3, 7)",9.0,0.0,227.0214830069864,97.78449144008061,31.0,79.15407854984895,97.78449144008061
"(5, 3, 9, 3)",5.0,0.0,226.97359590707757,98.59013091641495,32.0,78.24773413897283,98.59013091641495
"(9, 7, 8, 5)",4.0,0.0,231.44424279941362,95.26686807653584,70.0,78.14702920443112,95.26686807653584
"(8, 3, 6, 3)",4.0,0.0,222.696212040967,98.28801611278962,31.0,78.44914400805641,98.28801611278962
"(7, 9, 8, 3)",6.0,0.0,233.03017738108804,96.77744209466266,59.0,78.14702920443096,96.77744209466266
"(5, 8, 3, 6)",7.0,0.0,226.61955221761372,97.98590130916423,34.0,78.54984894259819,97.98590130916423
"(4, 5, 6, 7)",4.0,0.0,228.24882173677463,97.58308157099701,38.0,78.34843907351463,97.58308157099701
"(5, 9, 3, 6)",8.0,0.0,227.23807798251406,97.38167170191345,36.0,78.65055387713997,97.38167170191345
"(9, 4, 8, 5)",8.0,0.0,229.11391524267611,95.87109768378654,56.0,78.44914400805645,95.87109768378654
"(9, 9, 3, 6)",9.0,0.0,229.21156697228574,95.97180261832831,54.0,78.44914400805642,95.97180261832831
"(4, 7, 6, 4)",5.0,0.0,227.80899487190018,98.48942598187311,30.0,78.5498489425982,98.48942598187311
,,,-1e+18,,,,
"(5, 3, 4, 4)",3.0,0.0,193.70134719398385,98.59013091641494,22.0,79.35548841893254,98.59013091641494
"(3, 4, 5, 4)",8.0,0.0,203.32686546344792,98.89224572004031,21.0,78.5498489425982,98.89224572004031
"(9, 6, 3, 8)",4.0,0.0,228.2747867939578,96.67673716012087,51.0,78.24773413897282,96.67673716012087
"(3, 8, 9, 3)",7.0,0.0,229.47011119614376,97.583081570997,43.0,78.14702920443104,97.583081570997
"(5, 5, 6, 3)",4.0,0.0,227.03392502309362,97.88519637462237,27.0,79.35548841893255,97.88519637462237
"(5, 8, 3, 9)",6.0,0.0,229.04146002979297,97.07955689828805,45.0,78.147029204431,97.07955689828805
"(7, 4, 9, 8)",3.0,0.0,227.83300469606579,94.86404833836869,62.0,78.14702920443108,94.86404833836869
"(7, 7, 3, 9)",6.0,0.0,227.91966277552396,96.87814702920447,51.0,78.04632426988925,96.87814702920447
"(9, 9, 8, 5)",3.0,0.0,232.96917909825336,94.46122860020135,78.0,78.34843907351465,94.46122860020135
"(4, 4, 7, 9)",6.0,0.0,228.6340886641363,97.28096676737168,42.0,78.65055387713997,97.28096676737168
"(4, 8, 3, 6)",8.0,0.0,226.2464498642865,97.98590130916415,31.0,78.54984894259822,97.98590130916415
"(5, 9, 5, 3)",3.0,0.0,229.3959979296395,98.38872104733137,39.0,78.34843907351463,98.38872104733137
"(7, 8, 6, 4)",3.0,0.0,230.97528583749872,97.1802618328299,48.0,78.44914400805641,97.1802618328299
"(4, 5, 9, 3)",8.0,0.0,228.94228672334447,97.68378650553879,37.0,78.95266868076534,97.68378650553879
"(8, 9, 3, 6)",5.0,0.0,227.33682372123502,96.07250755287009,50.0,78.2477341389728,96.07250755287009
"(6, 9, 8, 7)",4.0,0.0,233.3845171221064,95.77039274924472,66.0,78.34843907351461,95.77039274924472
"(7, 4, 7, 4)",3.0,0.0,228.33337811575402,97.78449144008063,39.0,78.5498489425982,97.78449144008063
"(5, 7, 8, 7)",7.0,0.0,231.24853491844917,96.0725075528701,57.0,78.24773413897283,96.0725075528701
"(6, 9, 5, 9)",4.0,0.0,231.34658153662878,95.77039274924475,59.0,78.24773413897282,95.77039274924475
"(9, 8, 4, 9)",4.0,0.0,225.55360701433173,93.75629405840893,67.0,78.34843907351464,93.75629405840893
"(4, 7, 5, 3)",3.0,0.0,228.10027747872607,98.8922457200403,29.0,79.15407854984893,98.8922457200403
"(7, 4, 3, 7)",4.0,0.0,216.76675046077156,97.68378650553885,31.0,78.5498489425982,97.68378650553885
"(4, 8, 5, 6)",9.0,0.0,228.47105827561373,97.48237663645517,37.0,78.44914400805642,97.48237663645517
"(9, 7, 7, 6)",9.0,0.0,231.8709506459044,95.7703927492448,67.0,78.44914400805646,95.7703927492448
"(6, 6, 3, 4)",6.0,0.0,221.56923259471873,98.69083585095674,27.0,78.34843907351461,98.69083585095674
"(9, 8, 7, 7)",9.0,0.0,231.59555839588586,93.9577039274925,79.0,78.24773413897282,93.9577039274925
"(6, 6, 3, 4)",7.0,0.0,221.56923259471873,98.69083585095674,27.0,78.34843907351461,98.69083585095674
"(3, 6, 9, 8)",8.0,0.0,232.39831614886577,97.38167170191349,50.0,78.65055387713997,97.38167170191349
"(3, 8, 4, 8)",3.0,0.0,228.33973089264845,97.48237663645523,39.0,78.54984894259823,97.48237663645523
"(9, 4, 9, 8)",5.0,0.0,228.3250474559819,93.65558912386722,69.0,78.04632426988931,93.65558912386722
"(3, 9, 5, 8)",9.0,0.0,231.84369244168613,97.48237663645524,47.0,78.5498489425982,97.48237663645524
"(4, 4, 5, 7)",4.0,0.0,226.77950556408004,98.38872104733139,31.0,78.8519637462236,98.38872104733139
"(7, 5, 7, 3)",9.0,0.0,229.06290991607077,97.38167170191342,38.0,78.04632426988923,97.38167170191342
"(9, 6, 3, 9)",7.0,0.0,227.15942356432637,96.07250755287015,54.0,78.5498489425982,96.07250755287015
"(9, 4, 6, 4)",5.0,0.0,227.9849922459567,97.78449144008059,39.0,78.04632426988923,97.78449144008059
"(6, 8, 5, 9)",7.0,0.0,230.20019785984275,95.97180261832831,56.0,78.34843907351457,95.97180261832831
"(8, 3, 7, 8)",6.0,0.0,224.1693695106017,94.15911379657605,47.0,78.44914400805636,94.15911379657605
"(5, 8, 4, 4)",9.0,0.0,226.91219549685027,97.58308157099695,35.0,78.65055387713997,97.58308157099695
"(6, 8, 7, 4)",5.0,0.0,230.68961082030478,96.77744209466269,47.0,78.54984894259817,96.77744209466269
"(3, 6, 5, 3)",4.0,0.0,215.4180627350577,98.6908358509567,21.0,79.45619335347433,98.6908358509567
"(4, 9, 6, 6)",5.0,0.0,228.51255608449128,96.67673716012087,42.0,78.147029204431,96.67673716012087
"(8, 3, 5, 5)",9.0,0.0,218.21677992318044,97.88519637462234,35.0,78.04632426988923,97.88519637462234
"(7, 4, 5, 4)",4.0,0.0,222.11923428708732,98.18731117824777,31.0,78.95266868076538,98.18731117824777
"(7, 7, 4, 9)",9.0,0.0,228.13313607893883,96.07250755287015,53.0,78.14702920443105,96.07250755287015
"(5, 7, 4, 6)",8.0,0.0,222.01875647535596,97.98590130916413,33.0,78.04632426988921,97.98590130916413
