mf_inputs,mf_output,lb_rmse,score,coverage_topK,rules_to_target,coverage_at_target,cum_cov_all
"(6, 7, 7, 5, 3)",7.0,0.0,227.9781297267002,99.04671115347946,30.0,78.16968541468064,99.04671115347946
"(3, 8, 9, 6, 8)",5.0,0.0,229.99315027413553,96.85414680648228,53.0,78.45567206863682,96.85414680648228
"(9, 8, 5, 5, 4)",6.0,0.0,227.80078382031874,98.85605338417538,34.0,78.36034318398475,98.85605338417538
"(3, 4, 5, 6, 7)",8.0,0.0,227.28878702070276,97.61677788369876,36.0,78.74165872259296,97.61677788369876
"(6, 5, 9, 8, 7)",5.0,0.0,231.09739880458974,97.14013346043846,56.0,78.55100095328888,97.14013346043846
"(8, 7, 4, 3, 3)",7.0,0.0,228.23777315735083,99.52335557673969,24.0,79.59961868446139,99.52335557673969
"(8, 3, 8, 4, 7)",6.0,0.0,228.8128145949572,97.99809342230691,42.0,78.16968541468063,97.99809342230691
"(5, 6, 3, 4, 4)",5.0,0.0,226.723543935952,99.61868446139177,25.0,78.16968541468067,99.61868446139177
"(5, 3, 7, 3, 4)",4.0,0.0,227.55430144506323,99.23736892278357,26.0,78.93231649189707,99.23736892278357
"(6, 5, 8, 6, 8)",8.0,0.0,229.85654153870405,97.23546234509044,48.0,78.45567206863679,97.23546234509044
"(7, 4, 4, 6, 8)",3.0,0.0,228.27804004772227,97.99809342230682,39.0,78.07435653002857,97.99809342230682
"(8, 9, 8, 7, 4)",5.0,0.0,228.52252585952618,97.52144899904665,46.0,78.36034318398472,97.52144899904665
"(6, 4, 9, 8, 9)",7.0,0.0,231.1928003159984,96.56816015252609,63.0,78.45567206863684,96.56816015252609
"(3, 3, 5, 5, 3)",7.0,0.0,218.82745671479242,99.52335557673976,21.0,79.31363203050526,99.52335557673976
"(7, 3, 9, 7, 8)",7.0,0.0,230.81836014241145,97.42612011439458,56.0,78.3603431839848,97.42612011439458
"(4, 7, 9, 4, 4)",5.0,0.0,228.51812734374522,98.6653956148713,36.0,78.16968541468067,98.6653956148713
"(6, 6, 9, 4, 8)",9.0,0.0,231.06291778101638,98.09342230695896,50.0,78.16968541468064,98.09342230695896
"(9, 4, 7, 7, 7)",9.0,0.0,229.51148137740603,97.33079122974262,48.0,78.45567206863679,97.33079122974262
"(8, 7, 3, 6, 7)",3.0,0.0,229.16846194886236,98.37940896091516,39.0,78.74165872259297,98.37940896091516
"(5, 9, 4, 8, 8)",9.0,0.0,229.34542072983254,97.61677788369872,52.0,78.26501429933275,97.61677788369872
"(4, 7, 4, 3, 8)",5.0,0.0,228.48090077649178,98.76072449952329,36.0,78.16968541468067,98.76072449952329
"(3, 8, 6, 9, 7)",8.0,0.0,231.7814572541066,97.52144899904674,56.0,78.5510009532889,97.52144899904674
"(8, 4, 6, 4, 3)",5.0,0.0,225.9385417249646,99.04671115347949,26.0,79.02764537654909,99.04671115347949
"(3, 4, 6, 5, 7)",3.0,0.0,228.43767258314037,98.28408007626312,38.0,78.45567206863683,98.28408007626312
"(8, 4, 5, 8, 7)",4.0,0.0,229.11567892728965,97.71210676835076,45.0,78.74165872259292,97.71210676835076
