dataset,optimiser,seed,casp_mode,train_rmse,test_rmse
laser,adam,0,single,6.379741191864014,6.380472660064697
laser,adam,0,adapted,9.894224166870117,10.5579833984375
laser,adam,0,free,5.905908107757568,5.8525390625
laser,adam,1,single,6.477123260498047,6.2823944091796875
laser,adam,1,adapted,5.11757230758667,5.572052478790283
laser,adam,1,free,5.396106243133545,5.664955139160156
laser,adam,2,single,6.693549156188965,6.804268836975098
laser,adam,2,adapted,10.406574249267578,9.161541938781738
laser,adam,2,free,5.804943084716797,6.025866508483887
laser,adam,3,single,6.909524440765381,6.89550256729126
laser,adam,3,adapted,10.584050178527832,11.171788215637207
laser,adam,3,free,6.191303253173828,5.544336318969727
laser,adam,4,single,7.1920671463012695,7.221957206726074
laser,adam,4,adapted,5.472729206085205,5.705336093902588
laser,adam,4,free,5.97668981552124,6.447813510894775
laser,adam,5,single,7.17671012878418,7.732974529266357
laser,adam,5,adapted,10.59604549407959,12.005596160888672
laser,adam,5,free,6.478426456451416,6.036355018615723
laser,adam,6,single,6.620835304260254,5.9836907386779785
laser,adam,6,adapted,5.342551231384277,5.554649353027344
laser,adam,6,free,6.188227653503418,5.444745063781738
laser,adam,7,single,7.145406246185303,6.620899200439453
laser,adam,7,adapted,5.568135738372803,6.213074684143066
laser,adam,7,free,6.168868541717529,5.860598087310791
laser,adam,8,single,7.237061023712158,7.272674083709717
laser,adam,8,adapted,10.47109317779541,11.863494873046875
laser,adam,8,free,6.467348575592041,5.868898868560791
laser,adam,9,single,7.134305477142334,6.491410732269287
laser,adam,9,adapted,10.529101371765137,10.880757331848145
laser,adam,9,free,5.795725345611572,5.605627059936523
