dataset,optimiser,seed,step,step_type,train_rmse,test_rmse
airfoil,adam,2,1,epoch,6.533713340759277,9.148021697998047
airfoil,adam,2,2,epoch,6.511116981506348,9.124227523803711
airfoil,adam,2,3,epoch,6.490039825439453,9.100786209106445
airfoil,adam,2,4,epoch,6.469438076019287,9.077611923217773
airfoil,adam,2,5,epoch,6.449145317077637,9.05462646484375
airfoil,adam,2,6,epoch,6.429464340209961,9.031822204589844
airfoil,adam,2,7,epoch,6.410272121429443,9.00914192199707
airfoil,adam,2,8,epoch,6.391632080078125,8.986485481262207
airfoil,adam,2,9,epoch,6.373072624206543,8.963781356811523
airfoil,adam,2,10,epoch,6.354534149169922,8.941147804260254
airfoil,adam,2,11,epoch,6.336559295654297,8.916723251342773
airfoil,adam,2,12,epoch,6.319287300109863,8.885503768920898
airfoil,adam,2,13,epoch,7.067328453063965,8.86281681060791
airfoil,adam,2,14,epoch,7.053269863128662,8.839181900024414
airfoil,adam,2,15,epoch,7.039534091949463,8.815195083618164
airfoil,adam,2,16,epoch,7.0260467529296875,8.791088104248047
airfoil,adam,2,17,epoch,7.012852191925049,8.767022132873535
airfoil,adam,2,18,epoch,6.999936580657959,8.743047714233398
airfoil,adam,2,19,epoch,6.9872331619262695,8.719157218933105
airfoil,adam,2,20,epoch,6.974693775177002,8.695317268371582
airfoil,adam,2,21,epoch,6.962371349334717,8.671573638916016
airfoil,adam,2,22,epoch,6.950122833251953,8.647778511047363
airfoil,adam,2,23,epoch,6.937769412994385,30.509065628051758
airfoil,adam,2,24,epoch,6.9247822761535645,30.503070831298828
airfoil,adam,2,25,epoch,6.9118523597717285,30.497146606445312
airfoil,adam,2,26,epoch,6.898855686187744,30.49128532409668
airfoil,adam,2,27,epoch,6.885953903198242,30.485490798950195
airfoil,adam,2,28,epoch,6.872916221618652,30.47972869873047
airfoil,adam,2,29,epoch,6.8599534034729,30.473865509033203
airfoil,adam,2,30,epoch,6.846811771392822,30.468059539794922
airfoil,adam,2,31,epoch,6.833583354949951,30.462203979492188
airfoil,adam,2,32,epoch,6.820465087890625,30.45628547668457
airfoil,adam,2,33,epoch,6.8076395988464355,30.450454711914062
airfoil,adam,2,34,epoch,6.791489124298096,30.444717407226562
airfoil,adam,2,35,epoch,6.7747297286987305,30.4390926361084
airfoil,adam,2,36,epoch,6.757027626037598,30.433589935302734
airfoil,adam,2,37,epoch,6.739011764526367,30.428203582763672
airfoil,adam,2,38,epoch,6.720942497253418,30.422983169555664
airfoil,adam,2,39,epoch,6.70302677154541,30.417932510375977
airfoil,adam,2,40,epoch,6.685359477996826,30.413057327270508
airfoil,adam,2,41,epoch,6.6683220863342285,30.40782356262207
airfoil,adam,2,42,epoch,6.65180778503418,30.402496337890625
airfoil,adam,2,43,epoch,6.6358418464660645,30.397411346435547
airfoil,adam,2,44,epoch,6.620100975036621,30.392518997192383
airfoil,adam,2,45,epoch,6.603010654449463,30.38786506652832
airfoil,adam,2,46,epoch,6.586294174194336,30.383506774902344
airfoil,adam,2,47,epoch,6.569226264953613,30.379404067993164
airfoil,adam,2,48,epoch,6.5525031089782715,30.37563133239746
airfoil,adam,2,49,epoch,6.537888050079346,30.372180938720703
airfoil,adam,2,50,epoch,6.525113105773926,30.36906623840332
airfoil,adam,2,51,epoch,6.513645172119141,30.366260528564453
airfoil,adam,2,52,epoch,6.502814292907715,30.363882064819336
airfoil,adam,2,53,epoch,6.492183685302734,30.361572265625
airfoil,adam,2,54,epoch,6.481814384460449,30.3594970703125
airfoil,adam,2,55,epoch,6.471744060516357,30.35764503479004
airfoil,adam,2,56,epoch,6.462170124053955,30.35594940185547
airfoil,adam,2,57,epoch,6.453167915344238,30.354372024536133
airfoil,adam,2,58,epoch,6.444661617279053,30.352846145629883
airfoil,adam,2,59,epoch,6.436276912689209,30.35154914855957
airfoil,adam,2,60,epoch,6.428614616394043,30.35016441345215
airfoil,adam,2,61,epoch,6.4209699630737305,30.3488826751709
airfoil,adam,2,62,epoch,6.414100170135498,30.347187042236328
airfoil,adam,2,63,epoch,6.408029556274414,30.34547996520996
airfoil,adam,2,64,epoch,6.402562141418457,30.34379005432129
airfoil,adam,2,65,epoch,6.397915363311768,30.342164993286133
airfoil,adam,2,66,epoch,6.394044876098633,30.34067726135254
airfoil,adam,2,67,epoch,6.390490531921387,41.679534912109375
airfoil,adam,2,68,epoch,6.3873443603515625,41.6787223815918
airfoil,adam,2,69,epoch,6.384825229644775,41.6779670715332
airfoil,adam,2,70,epoch,6.382754325866699,41.67721176147461
airfoil,adam,2,71,epoch,6.3808674812316895,41.67650604248047
airfoil,adam,2,72,epoch,6.379551410675049,41.67580795288086
airfoil,adam,2,73,epoch,6.378849506378174,41.675132751464844
airfoil,adam,2,74,epoch,6.378695487976074,41.67449188232422
airfoil,adam,2,75,epoch,6.37894868850708,41.673641204833984
airfoil,adam,2,76,epoch,6.379706859588623,41.67232894897461
airfoil,adam,2,77,epoch,6.38092041015625,41.67108154296875
airfoil,adam,2,78,epoch,6.382716178894043,41.66990280151367
airfoil,adam,2,79,epoch,6.384775161743164,41.66851043701172
airfoil,adam,2,80,epoch,6.387063980102539,41.666927337646484
airfoil,adam,2,81,epoch,6.389754295349121,41.6654052734375
airfoil,adam,2,82,epoch,6.393017292022705,41.66394805908203
airfoil,adam,2,83,epoch,6.396701335906982,41.662498474121094
airfoil,adam,2,84,epoch,6.399977207183838,41.66107940673828
airfoil,adam,2,85,epoch,6.403711318969727,41.65974044799805
airfoil,adam,2,86,epoch,6.407707691192627,41.65834426879883
airfoil,adam,2,87,epoch,6.412003040313721,41.656768798828125
airfoil,adam,2,88,epoch,6.4167962074279785,41.65530776977539
airfoil,adam,2,89,epoch,6.422109603881836,41.653961181640625
airfoil,adam,2,90,epoch,6.427890777587891,41.6526985168457
airfoil,adam,2,91,epoch,6.434041976928711,41.651554107666016
airfoil,adam,2,92,epoch,6.440500736236572,41.65054702758789
airfoil,adam,2,93,epoch,6.447422504425049,41.64970397949219
airfoil,adam,2,94,epoch,6.454995632171631,41.649051666259766
airfoil,adam,2,95,epoch,6.462954998016357,41.64847183227539
airfoil,adam,2,96,epoch,6.471501350402832,41.64791488647461
airfoil,adam,2,97,epoch,6.480700969696045,41.64744567871094
airfoil,adam,2,98,epoch,6.490408897399902,41.64706802368164
airfoil,adam,2,99,epoch,6.500579833984375,41.64678192138672
airfoil,adam,2,100,epoch,6.511247158050537,41.64657974243164
airfoil,adam,2,101,epoch,6.522372245788574,41.64645767211914
airfoil,adam,2,102,epoch,6.5334625244140625,41.64640808105469
airfoil,adam,2,103,epoch,6.544886589050293,41.64644241333008
airfoil,adam,2,104,epoch,6.556534767150879,41.64655685424805
airfoil,adam,2,105,epoch,6.568039894104004,41.64689636230469
airfoil,adam,2,106,epoch,6.579361438751221,41.64741897583008
airfoil,adam,2,107,epoch,6.590760707855225,41.64809799194336
airfoil,adam,2,108,epoch,6.602108478546143,41.648921966552734
airfoil,adam,2,109,epoch,6.613392353057861,41.649925231933594
airfoil,adam,2,110,epoch,6.6247406005859375,41.651065826416016
airfoil,adam,2,111,epoch,6.636022090911865,41.652347564697266
airfoil,adam,2,112,epoch,6.647550582885742,41.65375900268555
airfoil,adam,2,113,epoch,6.659459114074707,41.65523147583008
airfoil,adam,2,114,epoch,6.671663761138916,41.65666580200195
airfoil,adam,2,115,epoch,6.684244632720947,41.658164978027344
airfoil,adam,2,116,epoch,6.697062015533447,41.65974044799805
airfoil,adam,2,117,epoch,6.7097015380859375,41.661067962646484
airfoil,adam,2,118,epoch,6.72258186340332,41.66172409057617
airfoil,adam,2,119,epoch,6.735841751098633,41.66227722167969
airfoil,adam,2,120,epoch,6.748989582061768,41.66289520263672
airfoil,adam,2,121,epoch,6.762390613555908,41.663604736328125
airfoil,adam,2,122,epoch,6.7762064933776855,41.66438293457031
airfoil,adam,2,123,epoch,6.790261745452881,41.66524124145508
airfoil,adam,2,124,epoch,6.804436683654785,41.66618347167969
airfoil,adam,2,125,epoch,6.818954944610596,41.66721725463867
airfoil,adam,2,126,epoch,6.833583831787109,41.66828918457031
airfoil,adam,2,127,epoch,6.848672389984131,41.669410705566406
airfoil,adam,2,128,epoch,6.86430549621582,41.67056655883789
airfoil,adam,2,129,epoch,6.8806915283203125,41.6717414855957
airfoil,adam,2,130,epoch,6.897214889526367,41.67293930053711
airfoil,adam,2,131,epoch,6.913671493530273,41.67406463623047
airfoil,adam,2,132,epoch,6.930215358734131,41.67513656616211
airfoil,adam,2,133,epoch,6.942562103271484,41.67609405517578
airfoil,adam,2,134,epoch,6.955419540405273,41.67699432373047
airfoil,adam,2,135,epoch,6.9705352783203125,41.67794418334961
airfoil,adam,2,136,epoch,6.987020492553711,41.6789436340332
airfoil,adam,2,137,epoch,7.006363868713379,41.680213928222656
airfoil,adam,2,138,epoch,7.0258259773254395,41.68168258666992
airfoil,adam,2,139,epoch,7.044872760772705,41.68333435058594
airfoil,adam,2,140,epoch,7.063766956329346,41.685176849365234
airfoil,adam,2,141,epoch,7.0824995040893555,41.68719482421875
airfoil,adam,2,142,epoch,7.101042747497559,41.68927001953125
airfoil,adam,2,143,epoch,7.119355201721191,41.69145202636719
airfoil,adam,2,144,epoch,7.137262344360352,41.69374084472656
airfoil,adam,2,145,epoch,7.155265808105469,41.69612503051758
airfoil,adam,2,146,epoch,7.172976970672607,41.698612213134766
airfoil,adam,2,147,epoch,7.1912617683410645,41.70118713378906
