dataset,optimiser,seed,step,step_type,train_rmse,test_rmse
airfoil,pso,0,1,iter,6.190688133239746,8.915343284606934
airfoil,pso,0,2,iter,5.995375633239746,8.40811824798584
airfoil,pso,0,3,iter,5.613807678222656,8.56344223022461
airfoil,pso,0,4,iter,5.5764079093933105,7.894387722015381
airfoil,pso,0,5,iter,5.5764079093933105,7.894387722015381
airfoil,pso,0,6,iter,5.499787330627441,8.138096809387207
airfoil,pso,0,7,iter,5.357029914855957,7.653117656707764
airfoil,pso,0,8,iter,5.357029914855957,7.653117656707764
airfoil,pso,0,9,iter,5.357029914855957,7.653117656707764
airfoil,pso,0,10,iter,5.183832168579102,7.407965660095215
