dataset,optimiser,seed,step,step_type,train_rmse,test_rmse
ankara,adam,1,1,epoch,7.000322341918945,7.547858238220215
ankara,adam,1,2,epoch,6.962368011474609,7.508347034454346
ankara,adam,1,3,epoch,6.923546314239502,7.469587326049805
ankara,adam,1,4,epoch,6.885197162628174,7.430759429931641
ankara,adam,1,5,epoch,6.847149848937988,7.392340183258057
ankara,adam,1,6,epoch,6.809475898742676,7.35416316986084
ankara,adam,1,7,epoch,6.771864414215088,7.315909385681152
ankara,adam,1,8,epoch,6.734424591064453,7.277423858642578
ankara,adam,1,9,epoch,6.69683837890625,7.238983154296875
ankara,adam,1,10,epoch,6.659191131591797,7.201002597808838
ankara,adam,1,11,epoch,6.6215620040893555,7.1631999015808105
ankara,adam,1,12,epoch,6.5842719078063965,7.125410556793213
ankara,adam,1,13,epoch,6.547050476074219,7.0896406173706055
ankara,adam,1,14,epoch,6.510179042816162,7.053960800170898
ankara,adam,1,15,epoch,6.473484039306641,7.017743110656738
ankara,adam,1,16,epoch,6.436851978302002,6.981447219848633
ankara,adam,1,17,epoch,6.400275707244873,6.945091724395752
ankara,adam,1,18,epoch,6.363739490509033,6.909416675567627
ankara,adam,1,19,epoch,6.3278021812438965,6.873626708984375
ankara,adam,1,20,epoch,6.292134761810303,6.8378682136535645
ankara,adam,1,21,epoch,6.256626129150391,6.802005767822266
ankara,adam,1,22,epoch,6.221164226531982,6.765925884246826
ankara,adam,1,23,epoch,6.186226844787598,6.729172706604004
ankara,adam,1,24,epoch,6.151559829711914,6.692614555358887
ankara,adam,1,25,epoch,6.116730690002441,6.656622409820557
ankara,adam,1,26,epoch,6.082204341888428,6.620911598205566
ankara,adam,1,27,epoch,6.047936916351318,6.585229396820068
ankara,adam,1,28,epoch,6.013869762420654,6.549744606018066
ankara,adam,1,29,epoch,5.979834079742432,6.5143046379089355
ankara,adam,1,30,epoch,5.945631980895996,6.4791131019592285
ankara,adam,1,31,epoch,5.911414623260498,6.444155216217041
ankara,adam,1,32,epoch,5.877167224884033,6.409760475158691
ankara,adam,1,33,epoch,5.842720031738281,6.375672817230225
ankara,adam,1,34,epoch,5.808746337890625,6.341443061828613
ankara,adam,1,35,epoch,5.774934768676758,6.307126522064209
ankara,adam,1,36,epoch,5.741082191467285,6.272828102111816
ankara,adam,1,37,epoch,5.707292556762695,6.238534927368164
ankara,adam,1,38,epoch,5.673728942871094,6.20358943939209
ankara,adam,1,39,epoch,5.640076637268066,6.168911457061768
ankara,adam,1,40,epoch,5.6063618659973145,6.134732246398926
ankara,adam,1,41,epoch,5.573262691497803,6.100540637969971
ankara,adam,1,42,epoch,5.5401434898376465,6.066165447235107
ankara,adam,1,43,epoch,5.507014274597168,6.031495571136475
ankara,adam,1,44,epoch,5.473927021026611,5.996574401855469
ankara,adam,1,45,epoch,5.440555095672607,5.962285995483398
ankara,adam,1,46,epoch,5.407284259796143,5.92803430557251
ankara,adam,1,47,epoch,5.373874664306641,5.893696308135986
ankara,adam,1,48,epoch,5.340904712677002,5.859372138977051
ankara,adam,1,49,epoch,5.308211803436279,5.824648857116699
ankara,adam,1,50,epoch,5.275507926940918,5.790147304534912
ankara,adam,1,51,epoch,5.242861270904541,5.7554931640625
ankara,adam,1,52,epoch,5.2104973793029785,5.721380710601807
ankara,adam,1,53,epoch,5.1785054206848145,5.687493801116943
ankara,adam,1,54,epoch,5.146761894226074,5.6534600257873535
ankara,adam,1,55,epoch,5.115264415740967,5.619497299194336
ankara,adam,1,56,epoch,5.084346771240234,5.585731029510498
ankara,adam,1,57,epoch,5.053893089294434,5.552483558654785
ankara,adam,1,58,epoch,5.023940086364746,5.519209861755371
ankara,adam,1,59,epoch,4.994222640991211,5.48614501953125
ankara,adam,1,60,epoch,4.964798927307129,5.453520774841309
ankara,adam,1,61,epoch,4.935772895812988,5.421280384063721
ankara,adam,1,62,epoch,4.906970024108887,5.389214038848877
ankara,adam,1,63,epoch,4.8783674240112305,5.357295513153076
ankara,adam,1,64,epoch,4.850301742553711,5.3258442878723145
ankara,adam,1,65,epoch,4.822710037231445,5.29463529586792
ankara,adam,1,66,epoch,4.7953667640686035,5.2632927894592285
ankara,adam,1,67,epoch,4.767934799194336,5.232946872711182
ankara,adam,1,68,epoch,4.741002082824707,5.202958106994629
ankara,adam,1,69,epoch,4.714392185211182,5.173179626464844
ankara,adam,1,70,epoch,4.687990188598633,5.1433892250061035
ankara,adam,1,71,epoch,4.662031173706055,5.113980293273926
ankara,adam,1,72,epoch,4.637084007263184,5.084656238555908
ankara,adam,1,73,epoch,4.612287521362305,5.055652141571045
ankara,adam,1,74,epoch,4.587728500366211,5.02714204788208
ankara,adam,1,75,epoch,4.563063621520996,4.998943328857422
ankara,adam,1,76,epoch,4.538106441497803,4.970980644226074
ankara,adam,1,77,epoch,4.513491630554199,4.9434356689453125
ankara,adam,1,78,epoch,4.4894256591796875,4.91605806350708
ankara,adam,1,79,epoch,4.465588569641113,4.88906717300415
ankara,adam,1,80,epoch,4.441982746124268,4.862329483032227
ankara,adam,1,81,epoch,4.41916036605835,4.836347579956055
ankara,adam,1,82,epoch,4.397058963775635,4.810521602630615
ankara,adam,1,83,epoch,4.375092506408691,4.785019397735596
ankara,adam,1,84,epoch,4.353632926940918,4.759798526763916
ankara,adam,1,85,epoch,4.332587242126465,4.734804153442383
ankara,adam,1,86,epoch,4.3117780685424805,4.710323810577393
ankara,adam,1,87,epoch,4.291479110717773,4.6866865158081055
ankara,adam,1,88,epoch,4.271694660186768,4.663707256317139
ankara,adam,1,89,epoch,4.252462387084961,4.641298770904541
ankara,adam,1,90,epoch,4.233916759490967,4.6192498207092285
ankara,adam,1,91,epoch,4.215748310089111,4.597813606262207
ankara,adam,1,92,epoch,4.197878360748291,4.5770440101623535
ankara,adam,1,93,epoch,4.180221080780029,4.556747913360596
ankara,adam,1,94,epoch,4.163024425506592,4.536931991577148
ankara,adam,1,95,epoch,4.146439552307129,4.517500877380371
ankara,adam,1,96,epoch,4.130103588104248,4.498514652252197
ankara,adam,1,97,epoch,4.114128589630127,4.47991943359375
ankara,adam,1,98,epoch,4.098499298095703,4.4618144035339355
ankara,adam,1,99,epoch,4.082870006561279,4.444106578826904
ankara,adam,1,100,epoch,4.067139625549316,4.4267449378967285
ankara,adam,1,101,epoch,4.051466941833496,4.409552574157715
ankara,adam,1,102,epoch,4.0359578132629395,4.392654895782471
ankara,adam,1,103,epoch,4.020697116851807,4.376109600067139
ankara,adam,1,104,epoch,4.005725383758545,4.359853744506836
ankara,adam,1,105,epoch,3.9910686016082764,4.343998908996582
ankara,adam,1,106,epoch,3.976533889770508,4.3285932540893555
ankara,adam,1,107,epoch,3.9622421264648438,4.313607692718506
ankara,adam,1,108,epoch,3.9481468200683594,4.298995494842529
ankara,adam,1,109,epoch,3.9342339038848877,4.285132884979248
ankara,adam,1,110,epoch,3.9204580783843994,4.271564960479736
ankara,adam,1,111,epoch,3.9067575931549072,4.25649356842041
ankara,adam,1,112,epoch,3.892634391784668,4.241503715515137
ankara,adam,1,113,epoch,3.878680944442749,4.226694107055664
ankara,adam,1,114,epoch,3.8648478984832764,4.212325572967529
ankara,adam,1,115,epoch,3.851186752319336,4.197899341583252
ankara,adam,1,116,epoch,3.8374366760253906,4.183803558349609
ankara,adam,1,117,epoch,3.823861598968506,4.170340061187744
ankara,adam,1,118,epoch,3.8104865550994873,4.156213760375977
ankara,adam,1,119,epoch,3.79703688621521,4.14073371887207
ankara,adam,1,120,epoch,3.7832586765289307,4.125021457672119
ankara,adam,1,121,epoch,3.7696104049682617,4.109239101409912
ankara,adam,1,122,epoch,3.7561821937561035,4.093759059906006
ankara,adam,1,123,epoch,3.7430546283721924,4.079251766204834
ankara,adam,1,124,epoch,3.7307024002075195,4.064968585968018
ankara,adam,1,125,epoch,3.7184062004089355,4.051082134246826
ankara,adam,1,126,epoch,3.706166982650757,4.036944389343262
ankara,adam,1,127,epoch,3.693638563156128,4.0226922035217285
ankara,adam,1,128,epoch,3.680885076522827,4.008522987365723
ankara,adam,1,129,epoch,3.6682441234588623,3.9947805404663086
ankara,adam,1,130,epoch,3.6558914184570312,3.9809505939483643
ankara,adam,1,131,epoch,3.643580198287964,3.967726469039917
ankara,adam,1,132,epoch,3.63134765625,3.955080032348633
ankara,adam,1,133,epoch,3.6193127632141113,3.942140579223633
ankara,adam,1,134,epoch,3.6071856021881104,3.9289748668670654
ankara,adam,1,135,epoch,3.5951454639434814,3.916032552719116
ankara,adam,1,136,epoch,3.5830538272857666,3.9035253524780273
ankara,adam,1,137,epoch,3.5711276531219482,3.890702962875366
ankara,adam,1,138,epoch,3.5593223571777344,3.878493070602417
ankara,adam,1,139,epoch,3.5477681159973145,3.8663735389709473
ankara,adam,1,140,epoch,3.536524772644043,3.853705644607544
ankara,adam,1,141,epoch,3.5251529216766357,3.841087579727173
ankara,adam,1,142,epoch,3.513923406600952,3.8288652896881104
ankara,adam,1,143,epoch,3.503197193145752,3.816222667694092
ankara,adam,1,144,epoch,3.492737054824829,3.804051160812378
ankara,adam,1,145,epoch,3.4824559688568115,3.791653871536255
ankara,adam,1,146,epoch,3.471965789794922,3.7798354625701904
ankara,adam,1,147,epoch,3.4618802070617676,3.7676868438720703
ankara,adam,1,148,epoch,3.45192551612854,3.755380630493164
ankara,adam,1,149,epoch,3.442000150680542,3.7442779541015625
