dataset,optimiser,seed,step,step_type,train_rmse,test_rmse
ankara,pso,0,1,iter,5.194807052612305,5.656492233276367
ankara,pso,0,2,iter,4.986245155334473,5.470383167266846
ankara,pso,0,3,iter,4.084321975708008,4.107194900512695
ankara,pso,0,4,iter,4.004690170288086,3.9542465209960938
ankara,pso,0,5,iter,3.987624406814575,3.7877793312072754
ankara,pso,0,6,iter,3.533203363418579,3.6201138496398926
ankara,pso,0,7,iter,3.3653645515441895,3.368006467819214
ankara,pso,0,8,iter,3.305457353591919,3.3160386085510254
ankara,pso,0,9,iter,3.305457353591919,3.3160386085510254
ankara,pso,0,10,iter,3.054586887359619,2.8402304649353027
