dataset,optimiser,seed,step,step_type,train_rmse,test_rmse
concrete,adam,2,1,epoch,12.224014282226562,12.7088623046875
concrete,adam,2,2,epoch,12.1981201171875,12.68314266204834
concrete,adam,2,3,epoch,12.173001289367676,12.659420013427734
concrete,adam,2,4,epoch,12.148921012878418,12.637290000915527
concrete,adam,2,5,epoch,12.12630844116211,12.61478042602539
concrete,adam,2,6,epoch,12.103041648864746,12.591612815856934
concrete,adam,2,7,epoch,12.07934856414795,12.569549560546875
concrete,adam,2,8,epoch,12.05588150024414,12.548935890197754
concrete,adam,2,9,epoch,12.033185958862305,12.528923034667969
concrete,adam,2,10,epoch,12.01120376586914,12.509119987487793
concrete,adam,2,11,epoch,11.989823341369629,12.487844467163086
concrete,adam,2,12,epoch,11.968430519104004,12.466659545898438
concrete,adam,2,13,epoch,11.947249412536621,12.446163177490234
concrete,adam,2,14,epoch,11.926411628723145,12.425989151000977
concrete,adam,2,15,epoch,11.90614128112793,12.405255317687988
concrete,adam,2,16,epoch,11.885566711425781,12.385013580322266
concrete,adam,2,17,epoch,11.865082740783691,12.364527702331543
concrete,adam,2,18,epoch,11.844271659851074,12.343474388122559
concrete,adam,2,19,epoch,11.823817253112793,12.322259902954102
concrete,adam,2,20,epoch,11.803970336914062,12.301520347595215
concrete,adam,2,21,epoch,11.784832954406738,12.281096458435059
concrete,adam,2,22,epoch,11.76616382598877,12.260791778564453
concrete,adam,2,23,epoch,11.747952461242676,12.240562438964844
concrete,adam,2,24,epoch,11.729612350463867,12.220416069030762
concrete,adam,2,25,epoch,11.711179733276367,12.201446533203125
concrete,adam,2,26,epoch,11.692934036254883,12.183945655822754
concrete,adam,2,27,epoch,11.67495346069336,12.168874740600586
concrete,adam,2,28,epoch,11.657849311828613,12.153849601745605
concrete,adam,2,29,epoch,11.641009330749512,12.139022827148438
concrete,adam,2,30,epoch,11.624860763549805,12.124876976013184
concrete,adam,2,31,epoch,11.60940170288086,12.110867500305176
concrete,adam,2,32,epoch,11.594450950622559,12.097859382629395
concrete,adam,2,33,epoch,11.580253601074219,12.085179328918457
concrete,adam,2,34,epoch,11.566473007202148,12.07325553894043
concrete,adam,2,35,epoch,11.55344009399414,12.061984062194824
concrete,adam,2,36,epoch,11.541055679321289,12.051438331604004
concrete,adam,2,37,epoch,11.529474258422852,12.041424751281738
concrete,adam,2,38,epoch,11.518399238586426,12.030858039855957
concrete,adam,2,39,epoch,11.507603645324707,12.020233154296875
concrete,adam,2,40,epoch,11.496705055236816,12.010282516479492
concrete,adam,2,41,epoch,11.486045837402344,12.000823020935059
concrete,adam,2,42,epoch,11.475695610046387,11.991596221923828
concrete,adam,2,43,epoch,11.465267181396484,11.982847213745117
concrete,adam,2,44,epoch,11.454949378967285,11.974553108215332
concrete,adam,2,45,epoch,11.445000648498535,11.966529846191406
concrete,adam,2,46,epoch,11.435176849365234,11.957479476928711
concrete,adam,2,47,epoch,11.425868034362793,11.94872760772705
concrete,adam,2,48,epoch,11.416475296020508,11.940203666687012
concrete,adam,2,49,epoch,11.407458305358887,11.931818962097168
concrete,adam,2,50,epoch,11.398595809936523,11.923537254333496
concrete,adam,2,51,epoch,11.389805793762207,11.915437698364258
concrete,adam,2,52,epoch,11.381210327148438,11.906987190246582
concrete,adam,2,53,epoch,11.372424125671387,11.898104667663574
concrete,adam,2,54,epoch,11.363543510437012,11.888230323791504
concrete,adam,2,55,epoch,11.35449504852295,11.878397941589355
concrete,adam,2,56,epoch,11.345582962036133,11.868346214294434
concrete,adam,2,57,epoch,11.336586952209473,11.858352661132812
concrete,adam,2,58,epoch,11.327615737915039,11.84872817993164
