dataset,optimiser,seed,step,step_type,train_rmse,test_rmse
concrete,pso,1,1,iter,12.08134937286377,12.54003620147705
concrete,pso,1,2,iter,11.909344673156738,12.241361618041992
concrete,pso,1,3,iter,11.858708381652832,11.978949546813965
concrete,pso,1,4,iter,11.64589786529541,11.924817085266113
concrete,pso,1,5,iter,11.521437644958496,12.20441722869873
concrete,pso,1,6,iter,11.481884002685547,11.939047813415527
concrete,pso,1,7,iter,11.481884002685547,11.939047813415527
concrete,pso,1,8,iter,11.460695266723633,11.922592163085938
concrete,pso,1,9,iter,11.402383804321289,12.029974937438965
concrete,pso,1,10,iter,11.402383804321289,12.029974937438965
