dataset,optimiser,seed,step,step_type,train_rmse,test_rmse
izmir,adam,1,1,epoch,4.811995029449463,4.605162620544434
izmir,adam,1,2,epoch,4.7759785652160645,4.567965507507324
izmir,adam,1,3,epoch,4.7402873039245605,4.530767440795898
izmir,adam,1,4,epoch,4.705143928527832,4.493242263793945
izmir,adam,1,5,epoch,4.6700873374938965,4.458358287811279
izmir,adam,1,6,epoch,4.636778831481934,4.424901485443115
izmir,adam,1,7,epoch,4.603944778442383,4.392772197723389
izmir,adam,1,8,epoch,4.571356773376465,4.361739635467529
izmir,adam,1,9,epoch,4.53905725479126,4.3316216468811035
izmir,adam,1,10,epoch,4.506326198577881,4.302333831787109
izmir,adam,1,11,epoch,4.473586082458496,4.274120807647705
izmir,adam,1,12,epoch,4.441312789916992,4.244698524475098
izmir,adam,1,13,epoch,4.409125328063965,4.215643882751465
izmir,adam,1,14,epoch,4.378705024719238,4.188000202178955
izmir,adam,1,15,epoch,4.3493547439575195,4.160388469696045
izmir,adam,1,16,epoch,4.31989860534668,4.133299827575684
izmir,adam,1,17,epoch,4.290833473205566,4.103724956512451
izmir,adam,1,18,epoch,4.261552333831787,4.074380397796631
izmir,adam,1,19,epoch,4.232653617858887,4.045779228210449
izmir,adam,1,20,epoch,4.204308986663818,4.015356540679932
izmir,adam,1,21,epoch,4.175848484039307,3.984158992767334
izmir,adam,1,22,epoch,4.147132396697998,3.9536170959472656
izmir,adam,1,23,epoch,4.119505405426025,3.9236133098602295
izmir,adam,1,24,epoch,4.09169340133667,3.892791986465454
izmir,adam,1,25,epoch,4.064272880554199,3.8629918098449707
izmir,adam,1,26,epoch,4.037015438079834,3.834176540374756
izmir,adam,1,27,epoch,4.009637832641602,3.8067989349365234
izmir,adam,1,28,epoch,3.9827120304107666,3.7807986736297607
izmir,adam,1,29,epoch,3.9559202194213867,3.7555596828460693
izmir,adam,1,30,epoch,3.9297420978546143,3.7314529418945312
izmir,adam,1,31,epoch,3.9042770862579346,3.710005760192871
izmir,adam,1,32,epoch,3.8810086250305176,3.6891660690307617
izmir,adam,1,33,epoch,3.857375383377075,3.6703927516937256
izmir,adam,1,34,epoch,3.8341286182403564,3.650056838989258
izmir,adam,1,35,epoch,3.810889959335327,3.629960060119629
izmir,adam,1,36,epoch,3.788257122039795,3.609928846359253
izmir,adam,1,37,epoch,3.7653889656066895,3.590831756591797
izmir,adam,1,38,epoch,3.742438554763794,3.572070360183716
izmir,adam,1,39,epoch,3.7192471027374268,3.554144859313965
izmir,adam,1,40,epoch,3.696579694747925,3.5379438400268555
izmir,adam,1,41,epoch,3.67391037940979,3.522754192352295
izmir,adam,1,42,epoch,3.6527199745178223,3.507110357284546
izmir,adam,1,43,epoch,3.6317245960235596,3.4922823905944824
izmir,adam,1,44,epoch,3.6109824180603027,3.478163003921509
izmir,adam,1,45,epoch,3.5902323722839355,3.465033769607544
izmir,adam,1,46,epoch,3.5697102546691895,3.452385425567627
izmir,adam,1,47,epoch,3.5495798587799072,3.4403934478759766
izmir,adam,1,48,epoch,3.5298781394958496,3.428354024887085
izmir,adam,1,49,epoch,3.510319232940674,3.415788412094116
izmir,adam,1,50,epoch,3.4904584884643555,3.4028866291046143
izmir,adam,1,51,epoch,3.4706993103027344,3.3908135890960693
izmir,adam,1,52,epoch,3.452559232711792,3.3777740001678467
izmir,adam,1,53,epoch,3.4348061084747314,3.361496925354004
izmir,adam,1,54,epoch,3.4159553050994873,3.345686674118042
izmir,adam,1,55,epoch,3.3975753784179688,3.3303403854370117
izmir,adam,1,56,epoch,3.3795814514160156,3.315887928009033
izmir,adam,1,57,epoch,3.3618102073669434,3.3020224571228027
izmir,adam,1,58,epoch,3.344433307647705,3.2888481616973877
izmir,adam,1,59,epoch,3.3276405334472656,3.275796890258789
izmir,adam,1,60,epoch,3.311227798461914,3.262965679168701
izmir,adam,1,61,epoch,3.2948055267333984,3.249884843826294
izmir,adam,1,62,epoch,3.5235283374786377,3.2371387481689453
izmir,adam,1,63,epoch,3.507694959640503,5.051693916320801
izmir,adam,1,64,epoch,4.115937232971191,6.407100200653076
izmir,adam,1,65,epoch,4.826129913330078,6.4016828536987305
izmir,adam,1,66,epoch,4.817262172698975,6.395969867706299
izmir,adam,1,67,epoch,5.018643856048584,6.390533447265625
izmir,adam,1,68,epoch,5.010586261749268,6.384993553161621
izmir,adam,1,69,epoch,5.181039333343506,6.379534721374512
izmir,adam,1,70,epoch,5.17356538772583,6.373964786529541
izmir,adam,1,71,epoch,5.390632152557373,6.36923885345459
izmir,adam,1,72,epoch,5.384257793426514,6.364307403564453
izmir,adam,1,73,epoch,5.378050327301025,6.358880519866943
izmir,adam,1,74,epoch,5.371852397918701,7.62772798538208
izmir,adam,1,75,epoch,5.771641254425049,7.623373508453369
izmir,adam,1,76,epoch,5.766533374786377,7.619546413421631
izmir,adam,1,77,epoch,5.761563777923584,7.6158576011657715
izmir,adam,1,78,epoch,5.756507873535156,7.612506866455078
izmir,adam,1,79,epoch,6.095025539398193,7.609067916870117
izmir,adam,1,80,epoch,6.09112548828125,7.605550765991211
izmir,adam,1,81,epoch,6.0870208740234375,7.601551532745361
