dataset,optimiser,seed,step,step_type,train_rmse,test_rmse
izmir,pso,2,1,iter,4.3007330894470215,4.358068466186523
izmir,pso,2,2,iter,3.7800986766815186,3.7450613975524902
izmir,pso,2,3,iter,3.7569739818573,3.792579174041748
izmir,pso,2,4,iter,3.322310447692871,3.4076409339904785
izmir,pso,2,5,iter,3.322310447692871,3.4076409339904785
izmir,pso,2,6,iter,3.1474263668060303,3.126116991043091
izmir,pso,2,7,iter,3.121727466583252,3.1109602451324463
izmir,pso,2,8,iter,2.785848379135132,2.7879014015197754
izmir,pso,2,9,iter,2.619252920150757,2.6064720153808594
izmir,pso,2,10,iter,2.6149778366088867,2.746110677719116
