dataset,optimiser,seed,step,step_type,train_rmse,test_rmse
laser,adam,0,1,epoch,11.736540794372559,11.030301094055176
laser,adam,0,2,epoch,10.71875,10.167325973510742
laser,adam,0,3,epoch,9.934575080871582,9.469204902648926
laser,adam,0,4,epoch,9.368358612060547,8.917509078979492
laser,adam,0,5,epoch,8.949731826782227,8.512889862060547
laser,adam,0,6,epoch,8.637015342712402,8.183612823486328
laser,adam,0,7,epoch,8.408536911010742,7.929687023162842
laser,adam,0,8,epoch,8.238161087036133,7.733650207519531
laser,adam,0,9,epoch,8.110713958740234,7.535554885864258
laser,adam,0,10,epoch,8.004213333129883,7.320320129394531
laser,adam,0,11,epoch,7.920464038848877,7.13178014755249
laser,adam,0,12,epoch,7.8554768562316895,6.971942901611328
laser,adam,0,13,epoch,7.789759159088135,6.843689441680908
laser,adam,0,14,epoch,7.718491077423096,6.72783088684082
laser,adam,0,15,epoch,7.654811859130859,6.618308067321777
laser,adam,0,16,epoch,7.594908714294434,6.534421920776367
laser,adam,0,17,epoch,7.551660060882568,6.469357967376709
laser,adam,0,18,epoch,7.525242328643799,6.416667461395264
laser,adam,0,19,epoch,7.513492107391357,6.365224838256836
laser,adam,0,20,epoch,7.49196195602417,6.311306953430176
laser,adam,0,21,epoch,7.457728385925293,6.261631011962891
laser,adam,0,22,epoch,7.418458938598633,6.212497234344482
laser,adam,0,23,epoch,7.373143672943115,6.167964935302734
laser,adam,0,24,epoch,7.323299884796143,6.1307291984558105
laser,adam,0,25,epoch,7.269176959991455,6.086582183837891
laser,adam,0,26,epoch,7.213888168334961,6.0491108894348145
laser,adam,0,27,epoch,7.161806583404541,6.019539833068848
laser,adam,0,28,epoch,7.111667156219482,5.993730068206787
laser,adam,0,29,epoch,7.07200813293457,5.965400695800781
laser,adam,0,30,epoch,7.041554927825928,5.938144683837891
laser,adam,0,31,epoch,7.018767356872559,5.917623519897461
laser,adam,0,32,epoch,6.996130466461182,5.906818389892578
laser,adam,0,33,epoch,6.97684907913208,5.898565769195557
laser,adam,0,34,epoch,6.954904556274414,5.888484001159668
laser,adam,0,35,epoch,6.928846836090088,5.870976448059082
laser,adam,0,36,epoch,6.9011616706848145,5.845232963562012
laser,adam,0,37,epoch,6.869575500488281,5.812800884246826
laser,adam,0,38,epoch,6.840036869049072,5.77869987487793
laser,adam,0,39,epoch,6.813282489776611,5.752386569976807
laser,adam,0,40,epoch,6.789095401763916,5.731785297393799
laser,adam,0,41,epoch,6.767779350280762,5.713876724243164
laser,adam,0,42,epoch,6.753807067871094,5.696806907653809
laser,adam,0,43,epoch,6.7389984130859375,5.6798176765441895
laser,adam,0,44,epoch,6.722490310668945,5.660574436187744
laser,adam,0,45,epoch,6.704854965209961,5.6416521072387695
laser,adam,0,46,epoch,6.685318470001221,5.626120567321777
laser,adam,0,47,epoch,6.66662073135376,5.614607334136963
laser,adam,0,48,epoch,6.644108295440674,5.607799053192139
laser,adam,0,49,epoch,6.62996244430542,5.600775718688965
laser,adam,0,50,epoch,6.616696357727051,5.593374729156494
laser,adam,0,51,epoch,6.6018829345703125,5.584211349487305
laser,adam,0,52,epoch,6.587098121643066,5.573477268218994
laser,adam,0,53,epoch,6.571121692657471,5.567121505737305
laser,adam,0,54,epoch,6.554458141326904,5.56679630279541
laser,adam,0,55,epoch,6.538615703582764,5.570541858673096
