dataset,optimiser,seed,step,step_type,train_rmse,test_rmse
laser,pso,2,1,iter,9.931633949279785,9.658425331115723
laser,pso,2,2,iter,9.931633949279785,9.658425331115723
laser,pso,2,3,iter,9.255586624145508,8.642702102661133
laser,pso,2,4,iter,9.255586624145508,8.642702102661133
laser,pso,2,5,iter,8.976097106933594,7.954824447631836
laser,pso,2,6,iter,8.612983703613281,7.9816741943359375
laser,pso,2,7,iter,8.334870338439941,7.368703365325928
laser,pso,2,8,iter,7.903049945831299,6.693916320800781
laser,pso,2,9,iter,7.903049945831299,6.693916320800781
laser,pso,2,10,iter,7.903049945831299,6.693916320800781
