dataset,optimiser,seed,train_rmse,test_rmse
airfoil,adam,0,6.3198323249816895,8.901080131530762
airfoil,adam,1,4.61195707321167,6.986597061157227
airfoil,adam,2,6.319287300109863,8.885503768920898
airfoil,adam,3,4.804946422576904,41.62599182128906
airfoil,adam,4,8.422069549560547,30.4617977142334
airfoil,adam,5,6.599997520446777,30.48386001586914
airfoil,adam,6,5.679006099700928,43.35611343383789
airfoil,adam,7,4.61195707321167,6.986597061157227
airfoil,adam,8,6.270735263824463,7.783292770385742
airfoil,adam,9,9.080986022949219,41.74404525756836
airfoil,sgd,0,6.384835720062256,8.723051071166992
airfoil,sgd,1,6.067383289337158,7.443753242492676
airfoil,sgd,2,6.390174865722656,8.709418296813965
airfoil,sgd,3,5.730588436126709,7.732142925262451
airfoil,sgd,4,9.139400482177734,9.211299896240234
airfoil,sgd,5,7.329533576965332,9.146127700805664
airfoil,sgd,6,6.26629638671875,7.478198051452637
airfoil,sgd,7,6.067383289337158,7.443753242492676
airfoil,sgd,8,6.404467582702637,7.973049640655518
airfoil,sgd,9,9.872204780578613,9.329228401184082
airfoil,rmsprop,0,6.313494682312012,8.913650512695312
airfoil,rmsprop,1,6.319474697113037,8.779603004455566
airfoil,rmsprop,2,6.312805652618408,8.898094177246094
airfoil,rmsprop,3,6.134308338165283,8.92075252532959
airfoil,rmsprop,4,8.960399627685547,9.394929885864258
airfoil,rmsprop,5,7.1246747970581055,9.322948455810547
airfoil,rmsprop,6,6.477094650268555,8.698932647705078
airfoil,rmsprop,7,6.319474697113037,8.779603004455566
airfoil,rmsprop,8,6.257854461669922,7.797276973724365
airfoil,rmsprop,9,9.686495780944824,9.436806678771973
airfoil,pso,0,5.183832168579102,7.407965660095215
airfoil,pso,1,5.167593479156494,12.861554145812988
airfoil,pso,2,5.543478488922119,8.03421688079834
airfoil,pso,3,4.6071953773498535,30.12130355834961
airfoil,pso,4,5.373624801635742,9.89433479309082
airfoil,pso,5,5.137015342712402,41.033409118652344
airfoil,pso,6,5.047813415527344,9.828165054321289
airfoil,pso,7,5.056704521179199,49.77975082397461
airfoil,pso,8,5.207945823669434,64.00143432617188
airfoil,pso,9,6.2987380027771,30.33989143371582
airfoil,ga,0,5.864732265472412,8.254106521606445
airfoil,ga,1,5.821484088897705,8.280442237854004
airfoil,ga,2,5.722977161407471,7.947690486907959
airfoil,ga,3,5.108800888061523,41.6781005859375
airfoil,ga,4,6.877729892730713,8.236376762390137
airfoil,ga,5,5.023456573486328,7.979284286499023
airfoil,ga,6,5.530470848083496,8.3292236328125
airfoil,ga,7,5.581612586975098,8.173274993896484
