dataset,optimiser,initialisation,seed,test_mse
Abalone,sgd,heuristic,0,0.013800202786310098
Abalone,sgd,heuristic,1,0.013768224822967154
Abalone,sgd,heuristic,2,0.013844113708194555
Abalone,sgd,heuristic,3,0.013894394021332706
Abalone,sgd,heuristic,4,0.013761320171844848
Abalone,rmsprop,heuristic,0,0.013649106674717179
Abalone,rmsprop,heuristic,1,0.013716819259186237
Abalone,rmsprop,heuristic,2,0.013792700801764552
Abalone,rmsprop,heuristic,3,0.01389394489154484
Abalone,rmsprop,heuristic,4,0.013847129740042714
Abalone,sgd,casp_single,0,0.01386819916655816
Abalone,sgd,casp_single,1,0.01387220004572459
Abalone,sgd,casp_single,2,0.013867291451604005
Abalone,sgd,casp_single,3,0.013866846666844448
Abalone,sgd,casp_single,4,0.013867992778295342
Abalone,rmsprop,casp_single,0,0.013814748814578979
Abalone,rmsprop,casp_single,1,0.013820769782153608
Abalone,rmsprop,casp_single,2,0.013836308509179834
Abalone,rmsprop,casp_single,3,0.013805648615044321
Abalone,rmsprop,casp_single,4,0.013812245165742719
Abalone,sgd,casp_adapt,0,0.013870237912464684
Abalone,sgd,casp_adapt,1,0.013876167109651238
Abalone,sgd,casp_adapt,2,0.013869146428659511
Abalone,sgd,casp_adapt,3,0.013868801283259647
Abalone,sgd,casp_adapt,4,0.013870434602638952
Abalone,rmsprop,casp_adapt,0,0.013861434942662555
Abalone,rmsprop,casp_adapt,1,0.013863332098760981
Abalone,rmsprop,casp_adapt,2,0.013872955252338687
Abalone,rmsprop,casp_adapt,3,0.013870797619430716
Abalone,rmsprop,casp_adapt,4,0.013868270665157459
Abalone,sgd,random_gauss,0,0.013781582505660158
Abalone,sgd,random_gauss,1,0.013837231402432256
Abalone,sgd,random_gauss,2,0.01395047891943251
Abalone,sgd,random_gauss,3,0.013991816956693083
Abalone,sgd,random_gauss,4,0.013872287746098489
Abalone,rmsprop,random_gauss,0,0.013449026943617815
Abalone,rmsprop,random_gauss,1,0.013894270980137978
Abalone,rmsprop,random_gauss,2,0.013905754671473989
Abalone,rmsprop,random_gauss,3,0.013881713961713034
Abalone,rmsprop,random_gauss,4,0.01379677625906514
Abalone,sgd,kmeans_mf,0,0.013829544463131001
Abalone,sgd,kmeans_mf,1,0.013769464846546264
Abalone,sgd,kmeans_mf,2,0.013784779079201134
Abalone,sgd,kmeans_mf,3,0.01384624058484687
Abalone,sgd,kmeans_mf,4,0.01372485435325317
Abalone,rmsprop,kmeans_mf,0,0.013733852464185013
Abalone,rmsprop,kmeans_mf,1,0.013717269252969662
Abalone,rmsprop,kmeans_mf,2,0.013738476409221238
Abalone,rmsprop,kmeans_mf,3,0.013790202774078905
Abalone,rmsprop,kmeans_mf,4,0.01366856499124355
Airfoil,sgd,heuristic,0,0.0332425947978628
Airfoil,sgd,heuristic,1,0.03324657297017023
Airfoil,sgd,heuristic,2,0.03324737272969486
Airfoil,sgd,heuristic,3,0.03324773388065216
Airfoil,sgd,heuristic,4,0.03324124889851061
Airfoil,rmsprop,heuristic,0,0.03320760699606549
Airfoil,rmsprop,heuristic,1,0.03321524357578035
Airfoil,rmsprop,heuristic,2,0.033202400768039944
Airfoil,rmsprop,heuristic,3,0.033219703989283304
Airfoil,rmsprop,heuristic,4,0.03320169571021287
Airfoil,sgd,casp_single,0,0.03284582694736865
Airfoil,sgd,casp_single,1,0.03284408487277002
Airfoil,sgd,casp_single,2,0.032845189354910896
Airfoil,sgd,casp_single,3,0.03284792705739652
Airfoil,sgd,casp_single,4,0.032845471138444805
Airfoil,rmsprop,casp_single,0,0.03309540384166839
Airfoil,rmsprop,casp_single,1,0.03310351966724598
Airfoil,rmsprop,casp_single,2,0.03314407173840317
Airfoil,rmsprop,casp_single,3,0.0331844778880867
Airfoil,rmsprop,casp_single,4,0.033105047058018554
Airfoil,sgd,casp_adapt,0,0.033496639876258054
Airfoil,sgd,casp_adapt,1,0.03349720994894812
Airfoil,sgd,casp_adapt,2,0.03349682003847906
Airfoil,sgd,casp_adapt,3,0.033502935302528125
Airfoil,sgd,casp_adapt,4,0.03349140492982077
Airfoil,rmsprop,casp_adapt,0,0.033125401135481694
Airfoil,rmsprop,casp_adapt,1,0.03312169177848113
Airfoil,rmsprop,casp_adapt,2,0.03309607973846686
Airfoil,rmsprop,casp_adapt,3,0.033128052597717665
Airfoil,rmsprop,casp_adapt,4,0.03312539442278278
Airfoil,sgd,random_gauss,0,0.03306538313295832
Airfoil,sgd,random_gauss,1,0.03279836801242496
Airfoil,sgd,random_gauss,2,0.03317400371015856
Airfoil,sgd,random_gauss,3,0.03343582572435581
Airfoil,sgd,random_gauss,4,0.03658047797164567
Airfoil,rmsprop,random_gauss,0,0.03328442615591243
Airfoil,rmsprop,random_gauss,1,0.03326754724467258
Airfoil,rmsprop,random_gauss,2,0.033200173517492146
Airfoil,rmsprop,random_gauss,3,0.03308525697639306
Airfoil,rmsprop,random_gauss,4,0.03682675294473466
Airfoil,sgd,kmeans_mf,0,0.03267426381208815
Airfoil,sgd,kmeans_mf,1,0.032661465862429406
Airfoil,sgd,kmeans_mf,2,0.03266845778146285
Airfoil,sgd,kmeans_mf,3,0.03266399711444428
Airfoil,sgd,kmeans_mf,4,0.032670554781886595
Airfoil,rmsprop,kmeans_mf,0,0.03301850249424467
Airfoil,rmsprop,kmeans_mf,1,0.033021214455291624
Airfoil,rmsprop,kmeans_mf,2,0.03297099497740306
Airfoil,rmsprop,kmeans_mf,3,0.03304388418877966
Airfoil,rmsprop,kmeans_mf,4,0.03302549924560606
AutoMPG,sgd,heuristic,0,0.04425531157028967
AutoMPG,sgd,heuristic,1,0.04429445163187924
AutoMPG,sgd,heuristic,2,0.04402056057819984
AutoMPG,sgd,heuristic,3,0.04414210964117638
AutoMPG,sgd,heuristic,4,0.044525721459956855
AutoMPG,rmsprop,heuristic,0,0.04504926751534789
AutoMPG,rmsprop,heuristic,1,0.04472379774313034
AutoMPG,rmsprop,heuristic,2,0.044469747845768494
AutoMPG,rmsprop,heuristic,3,0.04514850907616762
AutoMPG,rmsprop,heuristic,4,0.04503047694229846
AutoMPG,sgd,casp_single,0,0.04613229811284149
AutoMPG,sgd,casp_single,1,0.04613500590336731
AutoMPG,sgd,casp_single,2,0.04613260587154325
AutoMPG,sgd,casp_single,3,0.046133874075216554
AutoMPG,sgd,casp_single,4,0.046137068159467325
AutoMPG,rmsprop,casp_single,0,0.04542068740845432
AutoMPG,rmsprop,casp_single,1,0.04540915781743365
AutoMPG,rmsprop,casp_single,2,0.04541385770370965
AutoMPG,rmsprop,casp_single,3,0.045393237360638106
AutoMPG,rmsprop,casp_single,4,0.04541067902696361
AutoMPG,sgd,casp_adapt,0,0.04802366407351059
