dataset,optimiser,test_mse
Abalone,adam,0.008216883020906167
Airfoil,adam,0.025501105076221695
AutoMPG,adam,0.011762980402802579
Concrete,adam,0.02293685137955266
Cool,adam,0.0031878298297585385
Energy,adam,0.007072062241379233
QSAR,adam,0.022186153693136684
Treasury,adam,0.0005752979248503375
Yacht,adam,0.0032058787646229462
Baseball,adam,0.031078120562356096
Ankara,adam,0.0015024409757125646
Izmir,adam,0.0007688394420081804
Categorical,adam,0.0016845021141733978
Computer,adam,0.0014611746683472304
Electrical,adam,0.0010835129051524504
Laser,adam,0.005742712080764926
Prices,adam,0.004744693840052205
Heat,adam,0.010537491256051692
Wine,adam,0.018807891854635172
AutoMPG6,adam,0.023910479367750502
