dataset,optimiser,initialisation,test_mse
Abalone,adam,casp_adapt,0.008325879705243844
Airfoil,adam,casp_adapt,0.026443091556933217
AutoMPG,adam,casp_adapt,0.03430702794521828
Concrete,adam,casp_adapt,0.03351211719545517
Cool,adam,casp_adapt,0.006400561600768434
Energy,adam,casp_adapt,0.01302446266143845
QSAR,adam,casp_adapt,0.02321904760164527
Treasury,adam,casp_adapt,0.0038040946771104923
Yacht,adam,casp_adapt,0.10041662371101638
Baseball,adam,casp_adapt,0.04283105102740438
Ankara,adam,casp_adapt,0.029127206601200845
Izmir,adam,casp_adapt,0.00242350512008599
Categorical,adam,casp_adapt,0.055903543757269615
Computer,adam,casp_adapt,0.11354833451419796
Electrical,adam,casp_adapt,0.006408360165471594
Laser,adam,casp_adapt,0.02310492580559907
Prices,adam,casp_adapt,0.012122655583664797
Heat,adam,casp_adapt,0.02262313046794631
Wine,adam,casp_adapt,0.020456095813746588
AutoMPG6,adam,casp_adapt,0.07106863468555959
