dataset,optimiser,initialisation,test_mse
Abalone,cmaes,casp_adapt,0.009934657393340823
Airfoil,cmaes,casp_adapt,0.036152138033082704
AutoMPG,cmaes,casp_adapt,0.015684369830826838
Concrete,cmaes,casp_adapt,0.03270994873058043
Cool,cmaes,casp_adapt,0.08356979579507805
Energy,cmaes,casp_adapt,0.08229516870767878
QSAR,cmaes,casp_adapt,0.025482874132697696
Treasury,cmaes,casp_adapt,0.09318714230213027
Yacht,cmaes,casp_adapt,0.05275198612703588
Baseball,cmaes,casp_adapt,0.05690298507462686
Ankara,cmaes,casp_adapt,0.04962025465570595
Izmir,cmaes,casp_adapt,0.049029893135619305
Categorical,cmaes,casp_adapt,0.20703260824610528
Computer,cmaes,casp_adapt,0.01299762762601285
Electrical,cmaes,casp_adapt,0.014778236553548655
Laser,cmaes,casp_adapt,0.024756270756920225
Prices,cmaes,casp_adapt,0.02861723490288943
Heat,cmaes,casp_adapt,0.03225833714931631
Wine,cmaes,casp_adapt,0.023243739824814015
AutoMPG6,cmaes,casp_adapt,0.09076173470625891
