dataset,optimiser,initialisation,test_mse
Abalone,de,casp_adapt,0.009307066037670588
Airfoil,de,casp_adapt,0.025679218212000463
AutoMPG,de,casp_adapt,0.013231267783212092
Concrete,de,casp_adapt,0.028877885978095676
Cool,de,casp_adapt,0.014079121578504241
Energy,de,casp_adapt,0.037584472054751836
QSAR,de,casp_adapt,0.020374549398601904
Treasury,de,casp_adapt,0.007557291372213885
Yacht,de,casp_adapt,0.00661642109717406
Baseball,de,casp_adapt,0.03828138053648912
Ankara,de,casp_adapt,0.025928789103085305
Izmir,de,casp_adapt,0.044268124204723903
Categorical,de,casp_adapt,0.038127317457788766
Computer,de,casp_adapt,0.006830911747027114
Electrical,de,casp_adapt,0.01056484159117005
Laser,de,casp_adapt,0.019772336557197612
Prices,de,casp_adapt,0.023157372376893408
Heat,de,casp_adapt,0.030432490265899767
Wine,de,casp_adapt,0.022016182585429346
AutoMPG6,de,casp_adapt,0.024115426517645075
