dataset,optimiser,initialisation,test_mse
Abalone,ga,casp_adapt,0.011760535757060913
Airfoil,ga,casp_adapt,0.031648358721523724
AutoMPG,ga,casp_adapt,0.030850075492142203
Concrete,ga,casp_adapt,0.03741835141521146
Cool,ga,casp_adapt,0.0486558925791465
Energy,ga,casp_adapt,0.04955088836297105
QSAR,ga,casp_adapt,0.02290372486306835
Treasury,ga,casp_adapt,0.04172673350634722
Yacht,ga,casp_adapt,0.075792458624898
Baseball,ga,casp_adapt,0.10412736206730373
Ankara,ga,casp_adapt,0.038412853815466386
Izmir,ga,casp_adapt,0.05791037382345315
Categorical,ga,casp_adapt,0.09887170486156488
Computer,ga,casp_adapt,0.015722933787886625
Electrical,ga,casp_adapt,0.05255979252688108
Laser,ga,casp_adapt,0.040733482098640965
Prices,ga,casp_adapt,0.037262067595619494
Heat,ga,casp_adapt,0.03624551359982188
Wine,ga,casp_adapt,0.022280113814408174
AutoMPG6,ga,casp_adapt,0.015135110349390968
