dataset,optimiser,initialisation,test_mse
Abalone,adam,casp_free,0.00827492486394941
Airfoil,adam,casp_free,0.02638472834558011
AutoMPG,adam,casp_free,0.026055548703248166
Concrete,adam,casp_free,0.02919876745633282
Cool,adam,casp_free,0.013236858333160177
Energy,adam,casp_free,0.017754389293871024
QSAR,adam,casp_free,0.022948565035335
Treasury,adam,casp_free,0.010184490226905353
Yacht,adam,casp_free,0.0740161769858431
Baseball,adam,casp_free,0.037851145268147854
Ankara,adam,casp_free,0.020851092965353032
Izmir,adam,casp_free,0.002272107472168515
Categorical,adam,casp_free,0.010354762353936361
Computer,adam,casp_free,0.0800374326106059
Electrical,adam,casp_free,0.008705261621723614
Laser,adam,casp_free,0.018034132375746924
Prices,adam,casp_free,0.008612605715066345
Heat,adam,casp_free,0.028050486475378136
Wine,adam,casp_free,0.019074452793531628
AutoMPG6,adam,casp_free,0.06010277813910346
