dataset,optimiser,initialisation,test_mse
Abalone,cmaes,casp_free,0.010890688133484342
Airfoil,cmaes,casp_free,0.030581698917173692
AutoMPG,cmaes,casp_free,0.055616783707858594
Concrete,cmaes,casp_free,0.03543902727216092
Cool,cmaes,casp_free,0.08356993904441991
Energy,cmaes,casp_free,0.08029806009990824
QSAR,cmaes,casp_free,0.02234222548134205
Treasury,cmaes,casp_free,0.10103406199047683
Yacht,cmaes,casp_free,0.051418367681526043
Baseball,cmaes,casp_free,0.05690298507462686
Ankara,cmaes,casp_free,0.0524461438228096
Izmir,cmaes,casp_free,0.053860154862561134
Categorical,cmaes,casp_free,0.055882190197673945
Computer,cmaes,casp_free,0.01299762762601285
Electrical,cmaes,casp_free,0.14354769855465732
Laser,cmaes,casp_free,0.04464811070382508
Prices,cmaes,casp_free,0.0237589375842478
Heat,cmaes,casp_free,0.045694329432545575
Wine,cmaes,casp_free,0.022732198589303674
AutoMPG6,cmaes,casp_free,0.0695340820638274
