dataset,optimiser,initialisation,test_mse
Abalone,de,casp_free,0.010443191939397497
Airfoil,de,casp_free,0.029520273153854137
AutoMPG,de,casp_free,0.012715051430064479
Concrete,de,casp_free,0.030264500763998607
Cool,de,casp_free,0.017627684937798135
Energy,de,casp_free,0.017142067923615636
QSAR,de,casp_free,0.022458949271278544
Treasury,de,casp_free,0.008235151025055818
Yacht,de,casp_free,0.02321220086830571
Baseball,de,casp_free,0.03755321497346759
Ankara,de,casp_free,0.009399414633229387
Izmir,de,casp_free,0.045375276653256545
Categorical,de,casp_free,0.02930575562231633
Computer,de,casp_free,0.00862793295972974
Electrical,de,casp_free,0.014757798432577704
Laser,de,casp_free,0.022110803394090578
Prices,de,casp_free,0.022804167912710532
Heat,de,casp_free,0.03408032657511259
Wine,de,casp_free,0.021793808936692118
AutoMPG6,de,casp_free,0.010108260566791871
