dataset,optimiser,initialisation,test_mse
Abalone,ga,casp_free,0.011109590659785739
Airfoil,ga,casp_free,0.02914713165600898
AutoMPG,ga,casp_free,0.027626687787540738
Concrete,ga,casp_free,0.03639472241643477
Cool,ga,casp_free,0.022723940920809444
Energy,ga,casp_free,0.04699020033739027
QSAR,ga,casp_free,0.023243127463592726
Treasury,ga,casp_free,0.028568152538420013
Yacht,ga,casp_free,0.05989576078573216
Baseball,ga,casp_free,0.14966201376333854
Ankara,ga,casp_free,0.0359175353969521
Izmir,ga,casp_free,0.048445786921883796
Categorical,ga,casp_free,0.20300455214765034
Computer,ga,casp_free,0.05062464166174366
Electrical,ga,casp_free,0.05218302528547557
Laser,ga,casp_free,0.04649010967730455
Prices,ga,casp_free,0.03196537677749549
Heat,ga,casp_free,0.03489259417501931
Wine,ga,casp_free,0.022856734635658547
AutoMPG6,ga,casp_free,0.027643226415772097
