dataset,optimiser,initialisation,test_mse
Abalone,pso,casp_free,0.008475621484933341
Airfoil,pso,casp_free,0.02753966174721123
AutoMPG,pso,casp_free,0.013774714788595991
Concrete,pso,casp_free,0.029837898876129323
Cool,pso,casp_free,0.017740000446072268
Energy,pso,casp_free,0.036358353236269375
QSAR,pso,casp_free,0.02292035938343075
Treasury,pso,casp_free,0.007156292455321698
Yacht,pso,casp_free,0.017947858336269135
Baseball,pso,casp_free,0.052607492805387256
Ankara,pso,casp_free,0.007314420254150291
Izmir,pso,casp_free,0.04851549556816173
Categorical,pso,casp_free,0.0428824127350652
Computer,pso,casp_free,0.006049132568336208
Electrical,pso,casp_free,0.011728185878271027
Laser,pso,casp_free,0.02124201896316834
Prices,pso,casp_free,0.031082401646595394
Heat,pso,casp_free,0.03276006774627989
Wine,pso,casp_free,0.021957632494625127
AutoMPG6,pso,casp_free,0.01750948741352762
