dataset,optimiser,initialisation,test_mse
Abalone,adam,casp_single,0.008281740220221568
Airfoil,adam,casp_single,0.02647105911833857
AutoMPG,adam,casp_single,0.02743602506717847
Concrete,adam,casp_single,0.029540589991410127
Cool,adam,casp_single,0.01358455202920117
Energy,adam,casp_single,0.018027692319901648
QSAR,adam,casp_single,0.022976814232202707
Treasury,adam,casp_single,0.009488785841139408
Yacht,adam,casp_single,0.07813556385009944
Baseball,adam,casp_single,0.03808909570783958
Ankara,adam,casp_single,0.021849075558705515
Izmir,adam,casp_single,0.002295466964258768
Categorical,adam,casp_single,0.010373609627030347
Computer,adam,casp_single,0.0861778820486786
Electrical,adam,casp_single,0.009999298427666859
Laser,adam,casp_single,0.018451111388182354
Prices,adam,casp_single,0.00894758716064595
Heat,adam,casp_single,0.028223601997673403
Wine,adam,casp_single,0.019047920928887782
AutoMPG6,adam,casp_single,0.06280826859422284
