dataset,optimiser,initialisation,test_mse
Abalone,cmaes,casp_single,0.013972966427886821
Airfoil,cmaes,casp_single,0.036107364916057746
AutoMPG,cmaes,casp_single,0.045765885502437556
Concrete,cmaes,casp_single,0.030426070523212653
Cool,cmaes,casp_single,0.08356993985749217
Energy,cmaes,casp_single,0.09758830296080065
QSAR,cmaes,casp_single,0.02238916819970004
Treasury,cmaes,casp_single,0.09984360054851149
Yacht,cmaes,casp_single,0.0567144511905363
Baseball,cmaes,casp_single,0.05690298507462686
Ankara,cmaes,casp_single,0.04984450612010805
Izmir,cmaes,casp_single,0.0664485976567284
Categorical,cmaes,casp_single,0.8468396038403894
Computer,cmaes,casp_single,0.01299762762601285
Electrical,cmaes,casp_single,0.013252538233671226
Laser,cmaes,casp_single,0.042714971093517407
Prices,cmaes,casp_single,0.04523873809113022
Heat,cmaes,casp_single,0.032259791441008816
Wine,cmaes,casp_single,0.021761121199598242
AutoMPG6,cmaes,casp_single,0.07835761147559209
