dataset,optimiser,initialisation,test_mse
Abalone,de,casp_single,0.009510826503657746
Airfoil,de,casp_single,0.028887633331068037
AutoMPG,de,casp_single,0.013809356407822191
Concrete,de,casp_single,0.03249980231736641
Cool,de,casp_single,0.018061981678006545
Energy,de,casp_single,0.03617512260538142
QSAR,de,casp_single,0.02054707607332486
Treasury,de,casp_single,0.008676697623436676
Yacht,de,casp_single,0.007151972705026486
Baseball,de,casp_single,0.03981655802880754
Ankara,de,casp_single,0.026247365863951093
Izmir,de,casp_single,0.012466618327048387
Categorical,de,casp_single,0.03240535213009574
Computer,de,casp_single,0.004319599524839187
Electrical,de,casp_single,0.01297931169365496
Laser,de,casp_single,0.022059975384976952
Prices,de,casp_single,0.026764064121306965
Heat,de,casp_single,0.03134298602217052
Wine,de,casp_single,0.019939055313036722
AutoMPG6,de,casp_single,0.014004574312099513
