dataset,optimiser,initialisation,test_mse
Abalone,ga,casp_single,0.01138270636740023
Airfoil,ga,casp_single,0.0339100227100244
AutoMPG,ga,casp_single,0.01852159850868513
Concrete,ga,casp_single,0.03278361952421442
Cool,ga,casp_single,0.02013057938518766
Energy,ga,casp_single,0.03773601016506629
QSAR,ga,casp_single,0.023166448139158895
Treasury,ga,casp_single,0.029332091252721473
Yacht,ga,casp_single,0.04070553959377192
Baseball,ga,casp_single,0.13597141412800876
Ankara,ga,casp_single,0.03982654609263976
Izmir,ga,casp_single,0.055356351043348385
Categorical,ga,casp_single,0.16247977846296074
Computer,ga,casp_single,0.05414895195942198
Electrical,ga,casp_single,0.05101069632608616
Laser,ga,casp_single,0.05317519156514435
Prices,ga,casp_single,0.036954966840450125
Heat,ga,casp_single,0.03436027320296545
Wine,ga,casp_single,0.022461913379802072
AutoMPG6,ga,casp_single,0.029383922217092597
