dataset,optimiser,initialisation,test_mse
Abalone,pso,casp_single,0.009628342271165507
Airfoil,pso,casp_single,0.028637501346770636
AutoMPG,pso,casp_single,0.03065821300802949
Concrete,pso,casp_single,0.029604534018683164
Cool,pso,casp_single,0.01864691228647769
Energy,pso,casp_single,0.03665373597587175
QSAR,pso,casp_single,0.022609708124311862
Treasury,pso,casp_single,0.007838470800626258
Yacht,pso,casp_single,0.005983721305080469
Baseball,pso,casp_single,0.036890513718256294
Ankara,pso,casp_single,0.026246778530827845
Izmir,pso,casp_single,0.0450065471701348
Categorical,pso,casp_single,0.056271103557452094
Computer,pso,casp_single,0.009264419170835498
Electrical,pso,casp_single,0.010588231877838831
Laser,pso,casp_single,0.017516233704948543
Prices,pso,casp_single,0.023256139412674872
Heat,pso,casp_single,0.0312551571132724
Wine,pso,casp_single,0.022129596141673525
AutoMPG6,pso,casp_single,0.021792131454763025
