dataset,optimiser,initialisation,test_mse
Abalone,adam,heuristic,0.008231452825501582
Airfoil,adam,heuristic,0.024960616061222348
AutoMPG,adam,heuristic,0.006849026535389556
Concrete,adam,heuristic,0.022820961951096695
Cool,adam,heuristic,0.002795355619075538
Energy,adam,heuristic,0.007041314369846126
QSAR,adam,heuristic,0.022351312590415933
Treasury,adam,heuristic,0.0007115601474803948
Yacht,adam,heuristic,0.00312627122073341
Baseball,adam,heuristic,0.03388813251403556
Ankara,adam,heuristic,0.0011440978601214174
Izmir,adam,heuristic,0.0007805330193480425
Categorical,adam,heuristic,0.0018809291919921348
Computer,adam,heuristic,0.0014501613420938985
Electrical,adam,heuristic,0.0011383396057683512
Laser,adam,heuristic,0.0057662175648579275
Prices,adam,heuristic,0.004605054097413627
Heat,adam,heuristic,0.010630995682567375
Wine,adam,heuristic,0.018598578989675152
AutoMPG6,adam,heuristic,0.024543603011627182
