dataset,optimiser,initialisation,test_mse
Abalone,cmaes,heuristic,0.03597976430667172
Airfoil,cmaes,heuristic,0.031814117161655865
AutoMPG,cmaes,heuristic,0.030761605651864136
Concrete,cmaes,heuristic,0.042740267191411364
Cool,cmaes,heuristic,0.014579661789262965
Energy,cmaes,heuristic,0.04677736304377309
QSAR,cmaes,heuristic,0.02257202934367102
Treasury,cmaes,heuristic,0.04002643411522373
Yacht,cmaes,heuristic,0.02015375480451926
Baseball,cmaes,heuristic,0.05798402042927089
Ankara,cmaes,heuristic,0.029392930499653042
Izmir,cmaes,heuristic,0.04474086879122743
Categorical,cmaes,heuristic,0.1308775640178486
Computer,cmaes,heuristic,0.013466801656808917
Electrical,cmaes,heuristic,0.010831738614200078
Laser,cmaes,heuristic,0.0194461103921484
Prices,cmaes,heuristic,0.021701221466138943
Heat,cmaes,heuristic,0.03191522725080249
Wine,cmaes,heuristic,0.023249998230489562
AutoMPG6,cmaes,heuristic,0.023362302578722034
