dataset,optimiser,initialisation,test_mse
Abalone,de,heuristic,0.009864726486187731
Airfoil,de,heuristic,0.026973346585874865
AutoMPG,de,heuristic,0.014896174396868222
Concrete,de,heuristic,0.030604727989167232
Cool,de,heuristic,0.017939186948560896
Energy,de,heuristic,0.03658086179423635
QSAR,de,heuristic,0.02188063364625118
Treasury,de,heuristic,0.017363091077905277
Yacht,de,heuristic,0.013019295933220154
Baseball,de,heuristic,0.05620176700186038
Ankara,de,heuristic,0.02592950512949382
Izmir,de,heuristic,0.01178467145786413
Categorical,de,heuristic,0.010038640696005938
Computer,de,heuristic,0.011129954374917853
Electrical,de,heuristic,0.013519014009611714
Laser,de,heuristic,0.01698558194813866
Prices,de,heuristic,0.030335876908515903
Heat,de,heuristic,0.03517421301882907
Wine,de,heuristic,0.022898860126047187
AutoMPG6,de,heuristic,0.023957552874143858
