dataset,optimiser,initialisation,test_mse
Abalone,ga,heuristic,0.010850965513489838
Airfoil,ga,heuristic,0.033259366729222556
AutoMPG,ga,heuristic,0.02164242976719417
Concrete,ga,heuristic,0.028498134941851754
Cool,ga,heuristic,0.023436607541898892
Energy,ga,heuristic,0.054696647111388004
QSAR,ga,heuristic,0.020808089977105104
Treasury,ga,heuristic,0.01744781026399082
Yacht,ga,heuristic,0.021867380139800704
Baseball,ga,heuristic,0.05252188653811507
Ankara,ga,heuristic,0.029359481939446437
Izmir,ga,heuristic,0.05105447186495264
Categorical,ga,heuristic,0.20531896927524806
Computer,ga,heuristic,0.019022905032480997
Electrical,ga,heuristic,0.01114520906962307
Laser,ga,heuristic,0.016250495444674724
Prices,ga,heuristic,0.03451522880431802
Heat,ga,heuristic,0.030814767599934963
Wine,ga,heuristic,0.02261160401395133
AutoMPG6,ga,heuristic,0.029107420016282155
