dataset,optimiser,initialisation,test_mse
Abalone,pso,heuristic,0.009873659974635128
Airfoil,pso,heuristic,0.03524429118494867
AutoMPG,pso,heuristic,0.015419889692338918
Concrete,pso,heuristic,0.02602945652176264
Cool,pso,heuristic,0.03373664400849418
Energy,pso,heuristic,0.05214052726322764
QSAR,pso,heuristic,0.022415747748655682
Treasury,pso,heuristic,0.0234737086706504
Yacht,pso,heuristic,0.006886988582189276
Baseball,pso,heuristic,0.04890073904798025
Ankara,pso,heuristic,0.010313129365912974
Izmir,pso,heuristic,0.04807196134974251
Categorical,pso,heuristic,0.20022341848504016
Computer,pso,heuristic,0.013834521996489083
Electrical,pso,heuristic,0.013474528019361826
Laser,pso,heuristic,0.01726521202849137
Prices,pso,heuristic,0.03054838914581975
Heat,pso,heuristic,0.030944660866924344
Wine,pso,heuristic,0.02181312277663868
AutoMPG6,pso,heuristic,0.014386651012239366
