dataset,optimiser,initialisation,test_mse
Abalone,adam,kmeans_mf,0.006431609013725635
Airfoil,adam,kmeans_mf,0.014023595274651976
AutoMPG,adam,kmeans_mf,0.007283749359981351
Concrete,adam,kmeans_mf,0.01530174542434245
Cool,adam,kmeans_mf,0.003140010675224725
Energy,adam,kmeans_mf,0.007088408644128989
QSAR,adam,kmeans_mf,0.021380881184492505
Treasury,adam,kmeans_mf,0.00042117014808780326
Yacht,adam,kmeans_mf,0.0027992855795587347
Baseball,adam,kmeans_mf,0.0329183844132679
Ankara,adam,kmeans_mf,0.0009987663958441497
Izmir,adam,kmeans_mf,0.0005196813206360714
Categorical,adam,kmeans_mf,0.013591354408371614
Computer,adam,kmeans_mf,0.005411189121353817
Electrical,adam,kmeans_mf,0.004506673089576858
Laser,adam,kmeans_mf,0.005266259558990285
Prices,adam,kmeans_mf,0.003288914873741841
Heat,adam,kmeans_mf,0.010616153906096402
Wine,adam,kmeans_mf,0.015581961219072498
AutoMPG6,adam,kmeans_mf,nan
