dataset,optimiser,test_mse
Abalone,pso,8.09486725104341
Airfoil_self_noise,pso,15622.639578358805
AutoMPG,pso,605.183
Baseball,pso,0.19698106498923268
Bike_Sharing,pso,0.02890905621269117
Computer_hardware,pso,22003.785714285714
Concrete_Compressive_Strength,pso,198.42983237505018
Concrete_Slump,pso,0.04488636846700851
Energy_efficiency,pso,631.0097577922079
Forest_Fires,pso,0.01022159824670159
Housing,pso,0.042146163240662664
Laser,pso,6840.914572864322
QSAR_aquatic_toxicity,pso,2.6076879706583744
Treasury,pso,3.5481628753057035
wine-quality-red,pso,0.5593291896545814
wine-quality-white,pso,0.8546431585690092
Yacht_Hydrodynamics,pso,220.16945591666416
