dataset,optimiser,initialisation,test_mse
Abalone,adam,random_gauss,0.008674370337373866
Airfoil,adam,random_gauss,0.01795322252731716
AutoMPG,adam,random_gauss,0.015950344970548723
Concrete,adam,random_gauss,0.04945394490947069
Cool,adam,random_gauss,0.017892600710810582
Energy,adam,random_gauss,0.008808267393437874
QSAR,adam,random_gauss,0.025142722979063822
Treasury,adam,random_gauss,0.0015207318162430684
Yacht,adam,random_gauss,0.007352251357271763
Baseball,adam,random_gauss,0.028302045878948703
Ankara,adam,random_gauss,0.0038124604994421206
Izmir,adam,random_gauss,0.00213645942106142
Categorical,adam,random_gauss,0.002156290977516963
Computer,adam,random_gauss,0.12197557954830121
Electrical,adam,random_gauss,0.003516314273450176
Laser,adam,random_gauss,0.007289436580660092
Prices,adam,random_gauss,0.007413941233269133
Heat,adam,random_gauss,0.02246561388755118
Wine,adam,random_gauss,0.01895682245348962
AutoMPG6,adam,random_gauss,nan
