dataset,optimiser,initialisation,seed,test_mse
Abalone,adam,heuristic,0,0.008241401434251954
Abalone,adam,heuristic,1,0.008414962716455731
Abalone,adam,heuristic,2,0.008223234908296975
Abalone,adam,heuristic,3,0.008246569856908458
Abalone,adam,heuristic,4,0.008247827147185508
Abalone,pso,heuristic,0,0.10715937376053422
Abalone,pso,heuristic,1,0.11341360706962209
Abalone,pso,heuristic,2,0.11341360706962209
Abalone,pso,heuristic,3,0.11341360706962209
Abalone,pso,heuristic,4,0.042926696519994215
Abalone,ga,heuristic,0,0.035498537612451815
Abalone,ga,heuristic,1,0.07740830083577477
Abalone,ga,heuristic,2,0.11341360706962209
Abalone,ga,heuristic,3,0.011562401671772951
Abalone,ga,heuristic,4,0.040165090014767355
Abalone,de,heuristic,0,0.011701591470204435
Abalone,de,heuristic,1,0.009647644740982045
Abalone,de,heuristic,2,0.009785771219801807
Abalone,de,heuristic,3,0.012444339750992612
Abalone,de,heuristic,4,0.021961367722428828
Abalone,cmaes,heuristic,0,0.11341360706962209
Abalone,cmaes,heuristic,1,0.11341360706962209
Abalone,cmaes,heuristic,2,0.11341360706962209
Abalone,cmaes,heuristic,3,0.11341360706962209
Abalone,cmaes,heuristic,4,0.11341360706962209
Abalone,sgd,heuristic,0,0.013800202786310098
Abalone,sgd,heuristic,1,0.013768224822967154
Abalone,sgd,heuristic,2,0.013844113708194555
Abalone,sgd,heuristic,3,0.013894394021332706
Abalone,sgd,heuristic,4,0.013761320171844848
Abalone,rmsprop,heuristic,0,0.013649106674717179
Abalone,rmsprop,heuristic,1,0.013716819259186237
Abalone,rmsprop,heuristic,2,0.013792700801764552
Abalone,rmsprop,heuristic,3,0.01389394489154484
Abalone,rmsprop,heuristic,4,0.013847129740042714
Abalone,adam,casp_single,0,0.00829200316266231
Abalone,adam,casp_single,1,0.008279524441378167
Abalone,adam,casp_single,2,0.008290246949858426
Abalone,adam,casp_single,3,0.008292754811846933
Abalone,adam,casp_single,4,0.00828441660132062
Abalone,pso,casp_single,0,0.009938946475437764
Abalone,pso,casp_single,1,0.009948682676676956
Abalone,pso,casp_single,2,0.009537966238581315
Abalone,pso,casp_single,3,0.010133001133840502
Abalone,pso,casp_single,4,0.009493284837392528
Abalone,ga,casp_single,0,0.009851633619544982
Abalone,ga,casp_single,1,0.011590362246397659
Abalone,ga,casp_single,2,0.011936214017063431
Abalone,ga,casp_single,3,0.010565657957645785
Abalone,ga,casp_single,4,0.010552851263862873
Abalone,de,casp_single,0,0.00910350665440489
Abalone,de,casp_single,1,0.009562676845589457
Abalone,de,casp_single,2,0.00929344647381765
Abalone,de,casp_single,3,0.009370422007033195
Abalone,de,casp_single,4,0.00961888124103697
Abalone,cmaes,casp_single,0,0.00924981390909772
Abalone,cmaes,casp_single,1,0.013869925628292569
Abalone,cmaes,casp_single,2,0.020270831868613115
Abalone,cmaes,casp_single,3,0.03596452890439173
Abalone,cmaes,casp_single,4,0.012890941980849602
Abalone,sgd,casp_single,0,0.01386819916655816
Abalone,sgd,casp_single,1,0.01387220004572459
Abalone,sgd,casp_single,2,0.013867291451604005
Abalone,sgd,casp_single,3,0.013866846666844448
Abalone,sgd,casp_single,4,0.013867992778295342
Abalone,rmsprop,casp_single,0,0.013814748814578979
Abalone,rmsprop,casp_single,1,0.013820769782153608
Abalone,rmsprop,casp_single,2,0.013836308509179834
Abalone,rmsprop,casp_single,3,0.013805648615044321
Abalone,rmsprop,casp_single,4,0.013812245165742719
Abalone,adam,casp_adapt,0,0.00826680379265075
Abalone,adam,casp_adapt,1,0.008210971481927764
Abalone,adam,casp_adapt,2,0.008266003607757899
Abalone,adam,casp_adapt,3,0.00826731291836986
Abalone,adam,casp_adapt,4,0.008268254810601899
Abalone,pso,casp_adapt,0,0.008252297260517724
Abalone,pso,casp_adapt,1,0.009620317948929475
Abalone,pso,casp_adapt,2,0.009634945418317935
Abalone,pso,casp_adapt,3,0.008220810237415895
Abalone,pso,casp_adapt,4,0.010690132611181744
Abalone,ga,casp_adapt,0,0.01117426651367077
Abalone,ga,casp_adapt,1,0.011165500805246857
Abalone,ga,casp_adapt,2,0.011005479696308699
Abalone,ga,casp_adapt,3,0.010875177911010251
Abalone,ga,casp_adapt,4,0.010734499085817835
Abalone,de,casp_adapt,0,0.008707170327552666
Abalone,de,casp_adapt,1,0.009115541945488144
Abalone,de,casp_adapt,2,0.008213659009427087
Abalone,de,casp_adapt,3,0.009047603512997804
Abalone,de,casp_adapt,4,0.00937600054966806
Abalone,cmaes,casp_adapt,0,0.03597975650469767
Abalone,cmaes,casp_adapt,1,0.009199323477901455
Abalone,cmaes,casp_adapt,2,0.013853787902454472
Abalone,cmaes,casp_adapt,3,0.009510516346623586
Abalone,cmaes,casp_adapt,4,0.015633711317799615
Abalone,sgd,casp_adapt,0,0.013870237912464684
Abalone,sgd,casp_adapt,1,0.013876167109651238
Abalone,sgd,casp_adapt,2,0.013869146428659511
Abalone,sgd,casp_adapt,3,0.013868801283259647
Abalone,sgd,casp_adapt,4,0.013870434602638952
Abalone,rmsprop,casp_adapt,0,0.013861434942662555
Abalone,rmsprop,casp_adapt,1,0.013863332098760981
Abalone,rmsprop,casp_adapt,2,0.013872955252338687
Abalone,rmsprop,casp_adapt,3,0.013870797619430716
Abalone,rmsprop,casp_adapt,4,0.013868270665157459
Abalone,adam,random_gauss,0,0.009086712994065504
Abalone,adam,random_gauss,1,0.008273453020909472
Abalone,adam,random_gauss,2,0.008457735789049464
Abalone,adam,random_gauss,3,0.01021947282289031
Abalone,adam,random_gauss,4,0.013594948279209769
Abalone,pso,random_gauss,0,0.0093096910112862
Abalone,pso,random_gauss,1,0.11341360706962209
Abalone,pso,random_gauss,2,0.013375918946943469
Abalone,pso,random_gauss,3,0.011818204525622239
Abalone,pso,random_gauss,4,0.013192497667992697
Abalone,ga,random_gauss,0,0.031193937906890783
Abalone,ga,random_gauss,1,0.05961212767977848
Abalone,ga,random_gauss,2,0.11341360706962209
Abalone,ga,random_gauss,3,0.0579702777850034
Abalone,ga,random_gauss,4,0.024153620327430462
Abalone,de,random_gauss,0,0.010599465401913383
Abalone,de,random_gauss,1,0.09443434511839287
Abalone,de,random_gauss,2,0.011784117988461545
Abalone,de,random_gauss,3,0.09729571292654758
Abalone,de,random_gauss,4,0.010037552503678137
Abalone,cmaes,random_gauss,0,0.11341360706962209
Abalone,cmaes,random_gauss,1,0.11341360706962209
Abalone,cmaes,random_gauss,2,0.11341360706962209
Abalone,cmaes,random_gauss,3,0.11341360706962209
Abalone,cmaes,random_gauss,4,0.11341360706962209
Abalone,sgd,random_gauss,0,0.013781582505660158
Abalone,sgd,random_gauss,1,0.013984880605123175
Abalone,sgd,random_gauss,2,0.01395047891943251
Abalone,sgd,random_gauss,3,0.11341360706962209
Abalone,sgd,random_gauss,4,0.11341360706962209
Abalone,rmsprop,random_gauss,0,0.013449026943617815
Abalone,rmsprop,random_gauss,1,0.013894270980137978
Abalone,rmsprop,random_gauss,2,0.013905754671473989
Abalone,rmsprop,random_gauss,3,0.013881713961713034
Abalone,rmsprop,random_gauss,4,0.01379677625906514
Abalone,adam,kmeans_mf,0,0.006317913011103198
Abalone,adam,kmeans_mf,1,0.006448834135938662
Abalone,adam,kmeans_mf,2,0.0063136118681134034
Abalone,adam,kmeans_mf,3,0.006371857984580667
Abalone,adam,kmeans_mf,4,0.0063497261032664214
Abalone,pso,kmeans_mf,0,0.11341360706962209
Abalone,pso,kmeans_mf,1,0.11341360706962209
Abalone,pso,kmeans_mf,2,0.009358504512758992
Abalone,pso,kmeans_mf,3,0.0527876287228192
Abalone,pso,kmeans_mf,4,0.014993319104837777
Abalone,ga,kmeans_mf,0,0.010468006354124891
Abalone,ga,kmeans_mf,1,0.11341360706962209
Abalone,ga,kmeans_mf,2,0.11340621126117907
Abalone,ga,kmeans_mf,3,0.11341360706962209
Abalone,ga,kmeans_mf,4,0.009434571702712667
Abalone,de,kmeans_mf,0,0.11341360706962209
Abalone,de,kmeans_mf,1,0.01181059100825985
Abalone,de,kmeans_mf,2,0.010038702689987408
Abalone,de,kmeans_mf,3,0.016899007245776976
Abalone,de,kmeans_mf,4,0.009749067260614868
Abalone,cmaes,kmeans_mf,0,0.11341360706962209
Abalone,cmaes,kmeans_mf,1,0.11341360706962209
Abalone,cmaes,kmeans_mf,2,0.11341360706962209
Abalone,cmaes,kmeans_mf,3,0.11341360706962209
Abalone,cmaes,kmeans_mf,4,0.11341360706962209
Abalone,sgd,kmeans_mf,0,0.013829544463131001
Abalone,sgd,kmeans_mf,1,0.013769464846546264
Abalone,sgd,kmeans_mf,2,0.013784779079201134
Abalone,sgd,kmeans_mf,3,0.01384624058484687
Abalone,sgd,kmeans_mf,4,0.01372485435325317
Abalone,rmsprop,kmeans_mf,0,0.013733852464185013
Abalone,rmsprop,kmeans_mf,1,0.013717269252969662
Abalone,rmsprop,kmeans_mf,2,0.013738476409221238
Abalone,rmsprop,kmeans_mf,3,0.013790202774078905
Abalone,rmsprop,kmeans_mf,4,0.01366856499124355
Airfoil,adam,heuristic,0,0.025639282987744833
Airfoil,adam,heuristic,1,0.025238514164665896
Airfoil,adam,heuristic,2,0.025315192805345475
Airfoil,adam,heuristic,3,0.025519629387706556
Airfoil,adam,heuristic,4,0.024848004067882436
Airfoil,pso,heuristic,0,0.032797614954848675
Airfoil,pso,heuristic,1,0.03224936827966122
Airfoil,pso,heuristic,2,0.026280764640551818
Airfoil,pso,heuristic,3,0.03556581907484676
Airfoil,pso,heuristic,4,0.03515825964320764
Airfoil,ga,heuristic,0,0.03695601282052727
Airfoil,ga,heuristic,1,0.03558823103564352
Airfoil,ga,heuristic,2,0.03396181367116609
Airfoil,ga,heuristic,3,0.035460494470172625
Airfoil,ga,heuristic,4,0.03574745464159836
Airfoil,de,heuristic,0,0.030062018268807722
Airfoil,de,heuristic,1,0.024954561219390534
Airfoil,de,heuristic,2,0.0250396598845154
Airfoil,de,heuristic,3,0.034317604976471947
Airfoil,de,heuristic,4,0.027868231685002683
Airfoil,cmaes,heuristic,0,0.35774338879823203
Airfoil,cmaes,heuristic,1,0.03681764605849073
Airfoil,cmaes,heuristic,2,0.036544313722655986
Airfoil,cmaes,heuristic,3,0.03395516939232873
Airfoil,cmaes,heuristic,4,0.03568734612826113
Airfoil,sgd,heuristic,0,0.0332425947978628
Airfoil,sgd,heuristic,1,0.03324657297017023
Airfoil,sgd,heuristic,2,0.03324737272969486
Airfoil,sgd,heuristic,3,0.03324773388065216
Airfoil,sgd,heuristic,4,0.03324124889851061
Airfoil,rmsprop,heuristic,0,0.03320760699606549
Airfoil,rmsprop,heuristic,1,0.03321524357578035
Airfoil,rmsprop,heuristic,2,0.033202400768039944
Airfoil,rmsprop,heuristic,3,0.033219703989283304
Airfoil,rmsprop,heuristic,4,0.03320169571021287
Airfoil,adam,casp_single,0,0.02643234506711372
Airfoil,adam,casp_single,1,0.026442705888565312
Airfoil,adam,casp_single,2,0.02644868713682048
Airfoil,adam,casp_single,3,0.026411564938860498
Airfoil,adam,casp_single,4,0.02642835805957477
Airfoil,pso,casp_single,0,0.024780465382493108
Airfoil,pso,casp_single,1,0.02878801384557239
Airfoil,pso,casp_single,2,0.026155894064896563
Airfoil,pso,casp_single,3,0.02664547196503265
Airfoil,pso,casp_single,4,0.026849129098948175
Airfoil,ga,casp_single,0,0.03016751131434132
Airfoil,ga,casp_single,1,0.030882954912177834
Airfoil,ga,casp_single,2,0.029913927223013156
Airfoil,ga,casp_single,3,0.03239820553846057
Airfoil,ga,casp_single,4,0.03013136108846871
Airfoil,de,casp_single,0,0.02863858006915444
Airfoil,de,casp_single,1,0.02659246060527075
Airfoil,de,casp_single,2,0.027023372769654243
Airfoil,de,casp_single,3,0.026138434069878935
Airfoil,de,casp_single,4,0.03224568970748399
Airfoil,cmaes,casp_single,0,0.03681956247989401
Airfoil,cmaes,casp_single,1,0.0319035271642998
Airfoil,cmaes,casp_single,2,0.03672864625839182
Airfoil,cmaes,casp_single,3,0.03308576644429888
Airfoil,cmaes,casp_single,4,0.03681661171029772
Airfoil,sgd,casp_single,0,0.03284582694736865
Airfoil,sgd,casp_single,1,0.03284408487277002
Airfoil,sgd,casp_single,2,0.032845189354910896
Airfoil,sgd,casp_single,3,0.03284792705739652
Airfoil,sgd,casp_single,4,0.032845471138444805
Airfoil,rmsprop,casp_single,0,0.03309540384166839
Airfoil,rmsprop,casp_single,1,0.03310351966724598
Airfoil,rmsprop,casp_single,2,0.03314407173840317
Airfoil,rmsprop,casp_single,3,0.0331844778880867
Airfoil,rmsprop,casp_single,4,0.033105047058018554
Airfoil,adam,casp_adapt,0,0.026392885272474558
Airfoil,adam,casp_adapt,1,0.026415718088338227
Airfoil,adam,casp_adapt,2,0.026399434296811453
Airfoil,adam,casp_adapt,3,0.026413767155702837
Airfoil,adam,casp_adapt,4,0.026397410410598423
Airfoil,pso,casp_adapt,0,0.02627373608200698
Airfoil,pso,casp_adapt,1,0.02733434807379344
Airfoil,pso,casp_adapt,2,0.026185339343586824
Airfoil,pso,casp_adapt,3,0.027291405903956567
Airfoil,pso,casp_adapt,4,0.025347127777669707
Airfoil,ga,casp_adapt,0,0.030230465962198444
Airfoil,ga,casp_adapt,1,0.03132980507273968
Airfoil,ga,casp_adapt,2,0.029998173199983325
Airfoil,ga,casp_adapt,3,0.030524085180372404
Airfoil,ga,casp_adapt,4,0.03382182356138065
Airfoil,de,casp_adapt,0,0.0255930927880224
Airfoil,de,casp_adapt,1,0.026380280877436203
Airfoil,de,casp_adapt,2,0.02718999242928509
Airfoil,de,casp_adapt,3,0.027061195969558634
Airfoil,de,casp_adapt,4,0.026293421455431287
Airfoil,cmaes,casp_adapt,0,0.03326562189714336
Airfoil,cmaes,casp_adapt,1,0.0291675415930582
Airfoil,cmaes,casp_adapt,2,0.03329444244698094
Airfoil,cmaes,casp_adapt,3,0.03334430531611738
Airfoil,cmaes,casp_adapt,4,0.03326281350605126
Airfoil,sgd,casp_adapt,0,0.033496639876258054
Airfoil,sgd,casp_adapt,1,0.03349720994894812
Airfoil,sgd,casp_adapt,2,0.03349682003847906
Airfoil,sgd,casp_adapt,3,0.033502935302528125
Airfoil,sgd,casp_adapt,4,0.03349140492982077
Airfoil,rmsprop,casp_adapt,0,0.033125401135481694
Airfoil,rmsprop,casp_adapt,1,0.03312169177848113
Airfoil,rmsprop,casp_adapt,2,0.03309607973846686
Airfoil,rmsprop,casp_adapt,3,0.033128052597717665
Airfoil,rmsprop,casp_adapt,4,0.03312539442278278
Airfoil,adam,random_gauss,0,0.024661967604594416
Airfoil,adam,random_gauss,1,0.019800013796058755
Airfoil,adam,random_gauss,2,0.02251156065875546
Airfoil,adam,random_gauss,3,0.024519695134836313
Airfoil,adam,random_gauss,4,0.018792160188179956
Airfoil,pso,random_gauss,0,0.029675198413151402
Airfoil,pso,random_gauss,1,0.02691252845661295
Airfoil,pso,random_gauss,2,0.034404832932140514
Airfoil,pso,random_gauss,3,0.031099143010260195
Airfoil,pso,random_gauss,4,0.03329314710257965
Airfoil,ga,random_gauss,0,0.037929809340145886
Airfoil,ga,random_gauss,1,0.036819568860415694
Airfoil,ga,random_gauss,2,0.030554598967615358
Airfoil,ga,random_gauss,3,0.03494854738558845
Airfoil,ga,random_gauss,4,0.03540159041603892
Airfoil,de,random_gauss,0,0.02974986221829364
Airfoil,de,random_gauss,1,0.026876924643697335
Airfoil,de,random_gauss,2,0.0306720722838563
Airfoil,de,random_gauss,3,0.03063177128300177
Airfoil,de,random_gauss,4,0.02755856559481988
Airfoil,cmaes,random_gauss,0,0.35774338879823203
Airfoil,cmaes,random_gauss,1,0.036767411419566146
Airfoil,cmaes,random_gauss,2,0.03359267144936804
Airfoil,cmaes,random_gauss,3,0.35774338879823203
Airfoil,cmaes,random_gauss,4,0.03657845858856314
Airfoil,sgd,random_gauss,0,0.03306538313295832
Airfoil,sgd,random_gauss,1,0.033274874796900875
Airfoil,sgd,random_gauss,2,0.03317400371015856
Airfoil,sgd,random_gauss,3,0.03343582572435581
Airfoil,sgd,random_gauss,4,0.03658047797164567
Airfoil,rmsprop,random_gauss,0,0.03328442615591243
Airfoil,rmsprop,random_gauss,1,0.03326754724467258
Airfoil,rmsprop,random_gauss,2,0.033200173517492146
Airfoil,rmsprop,random_gauss,3,0.03308525697639306
Airfoil,rmsprop,random_gauss,4,0.03682675294473466
Airfoil,adam,kmeans_mf,0,0.01405918947413895
Airfoil,adam,kmeans_mf,1,0.013779536008434467
Airfoil,adam,kmeans_mf,2,0.013746828848668164
